KCNQ1	PRKACA
PRKACA	NFKB1
PRKACA	CREBBP
CREBBP	SP1
PRKACA	RELA
NFKB1	TP53
PRKACA	CREB1
PRKACA	MAPK1
MAPK1	JUN
NFKB1	NFKB2
MAPK1	STAT3
STAT3	IRF1
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	RAF1
RAF1	AKT3
AKT3	IRF3
ATF6B	PDYN
ATF4	PDYN
TFDP2	CCNE2
FOSB	RELA
STAT5A	SOCS4
STAT5A	CCND1
STAT5B	SOCS5
STAT6	MYC
RBPJ	HES5
TP53	DDB2
TP53	RRM2B
TP53	SERPINB5
TP53	BAX
TP53	ZMAT3
TP53	THBS1
NFKB2	TRAF1
PPARA	CYP4A11
PPARG	CPT1B
RXRA	ADIPOQ
RXRB	GK
RXRB	ACADL
RXRB	APOA2
CREB1	HLA-DPB1
NFYA	HLA-DPA1
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
JUN	ALDOA
POU2F1	ALDOC
USF1	B2M
USF2	CALCA
E2F4	CAV1
ELK1	CCT8
NFKB1	IRF1
TFAP2A	ITGA2
SPI1	NFKB1
TFAP2A	PENK
