PPARG	RXRA
RXRA	SREBF1
SREBF1	PKLR
PKLR	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
RXRA	THRB
THRB	HIF1A
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
HIF1A	ARNT
SREBF1	IRS2
IRS2	GRB2
GRB2	SOS1
GRB2	SOS2
CREBBP	STAT3
CREBBP	SP1
THRB	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
AKT3	RELA
CREBBP	STAT1
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PRKACA
PRKCA	MTOR
MTOR	PPARG
MTOR	HIF1A
ALDH2	GATM
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
CREBBP	ARNT
GATM	NOS1
NOS1	KRAS
KRAS	GRB2
NOS1	MAPK1
MAPK1	STAT3
MAPK1	SMAD2
SMAD2	SP1
MAPK1	NFKB1
MAPK1	RELA
MAPK1	STAT1
SERPINE1	PLAT
PLAT	PLG
PLG	PARD3
PARD3	JAM2
JAM2	ITGB1
ITGB1	PRKACA
PLG	F2R
F2R	PIK3R5
PIK3R5	MTOR
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
PIK3R5	EGFR
EGFR	SOS1
EGFR	SOS2
PARD3	PRKCZ
PRKCZ	MAPK1
PARD3	TIAM1
TIAM1	RAC1
RAC1	NFKB1
RAC1	RELA
ELK1	CCND1
MAPK8	JUN
CREB3L2	PCNA
CREBBP	ANGPT4
CREBBP	SLC2A1
EP300	ANGPT4
EP300	SLC2A1
HIF1A	ANGPT4
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
LEF1	CCND3
TCF7	BIRC2
TCF7L2	BIRC2
TCF7L2	SNAI2
TEAD1	AXIN2
TEAD3	GLI2
STAT4	SOCS2
STAT5B	SOCS1
RBPJ	HES5
TP53	BAX
EPAS1	TGFB1
MYC	CDK4
NFYC	HLA-DQA2
ETS2	TWF2
FLI1	POLR2A
CREM	CCND1
POU2F1	CCND1
CREB1	CYP11A1
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
USF2	PTPN6
PPARD	SERPINE1
SP1	SOD1
ATF1	TG
USF1	THBS1
ETS1	TNNC1
E2F4	TOP1
PAX1	VHL
ETS1	VWF
ETS2	VWF
NFIC	VWF
