TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	MAPK1
MAPK1	MYC
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
PRKACA	RELA
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
CREBBP	SP1
MAPK8	TP53
PRKACA	CREB1
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	ATF1
RUNX1	JUP
RUNX1T1	JUP
ELK1	BIRC2
SMAD3	MYC
NFKB1	TNF
RELA	MMP9
CREBBP	HK1
CREBBP	SERPINE1
CREBBP	PGF
EP300	HK1
EP300	SERPINE1
EP300	PGF
HIF1A	HK1
HIF1A	SERPINE1
HIF1A	HKDC1
ARNT	EDN1
ARNT	ENO2
STAT4	SOCS1
STAT5B	CCND1
TCF7L1	MITF
PIK3R2	AKT1
NFKB1	TRAF3
FOXO3	PCK2
PPARD	CPT1C
RXRA	CPT2
RXRB	ACSL4
RXRG	FABP4
IRF7	IFNA10
NFYC	HLA-DQA2
MAPK8	IL18
NFIC	AFP
EGR1	AKR1B1
RARA	AKR1B1
ETS2	CDK1
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF1	CTSB
EGR1	FN1
NFKB1	FN1
RELA	FN1
ELK3	FOS
ESR1	FOS
ETS2	FOS
CREB1	ICAM1
CREM	ICAM1
ESR1	PTMA
SPI1	SCARB2
PPARA	SERPINE1
ETS1	SLC26A3
EGR1	TFPI2
JUN	TFRC
HOXA5	TH
EGR4	TNF
ERG	TNNC1
SP3	TNNC1
JUN	TXN
HIF1A	VHL
