PPARG	RXRA
RXRA	THRB
THRB	MYC
THRB	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
AKT3	RELA
RXRA	THRA
THRA	CTNNB1
CTNNB1	LEF1
LEF1	YAP1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
AKT3	CHUK
CHUK	NFKB2
THRB	GATA4
GATA4	SRF
SRF	ELK1
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	MYC
MAPK1	NFKB1
MAPK1	RELA
MAPK1	SMAD2
SMAD2	YAP1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
NFKB1	NFKB2
MAPK1	ELK1
SERPINE1	PLAT
PLAT	PLG
PLG	PARD3
PARD3	PRKCZ
PRKCZ	MAPK1
PARD3	TIAM1
TIAM1	RAC1
RAC1	NFKB1
RAC1	RELA
PRKCZ	LLGL2
LLGL2	YAP1
PARD3	F11R
F11R	TJP1
TJP1	CTNNB1
ATF6B	ARC
ATF4	ARC
JUN	RELA
HIF1A	TFRC
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
YAP1	ID1
YAP1	AREGB
WWTR1	BIRC5
SMAD2	SERPINE1
BBC3	TP53
NFKB1	IL1A
MAPK8	IL18
TP53	IL8
CEBPA	ITGA2
CREM	PLAT
