NR3C2	KRAS
KRAS	MAPK1
MAPK1	CREB1
MAPK1	SMAD2
SMAD2	SP1
KRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
KRAS	JUN
KRAS	FOS
MAPK1	ETS1
MAPK1	SMAD3
MAPK1	STAT1
MAPK1	SMAD4
MAPK1	STAT3
KRAS	MAPK8
MAPK8	JUND
MAPK1	TP53
KRAS	MAP3K1
MAP3K1	CHUK
CHUK	IRF7
STAT1	MYD88
KRAS	RAF1
RAF1	NFKB1
MAPK1	ESR1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
RAF1	RELA
PIK3R5	MTOR
MTOR	PPARG
KRAS	MAPK9
KRAS	MAPK10
MYD88	VDR
AR	PRKACA
PRKACA	CREB1
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	EP300
CREBBP	ARNT
PRKACA	MAPK1
MAPK1	JUN
MAPK1	FOS
PRKACA	MAPK8
NFKB1	TP53
NFKB1	TRAF6
TRAF6	IRF7
TRAF6	MYD88
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	RELA
PRKACA	PRKAG2
PRKAG2	MTOR
PRKACA	MAPK9
PRKACA	MAPK10
PGR	PRKACA
PGR	MAPK8
MAPK8	SMAD3
SMAD3	SP1
PGR	PIK3R5
MAPK8	JUN
MAPK8	FOS
MAPK8	ELK1
ELK1	ETS1
PGR	MAPK14
MAPK14	MAPK1
MAPK8	SMAD4
MAPK8	IL6
IL6	STAT3
MAPK8	TP53
PIK3R5	AKT3
AKT3	CHUK
MAPK8	NFKB1
MAPK8	RELA
PGR	MAPK9
PGR	MAPK10
CYP11B2	HSD11B1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	CREB1
HSD11B1	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	ESR1
ESR1	SP1
JAK2	PIK3R5
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	HRAS
HRAS	JUN
PRKCA	FOS
PRKCA	MAPK1
JAK2	STAT1
CYP11B2	HSD17B6
HSD17B6	DGAT1
DGAT1	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
STAT1	TRAF6
PRKCA	RAF1
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	MTOR
PRKCE	MAPK9
PRKCE	MAPK10
SRD5A1	UGT2B11
UGT2B11	CYP2E1
SRD5A1	AKR1C2
AKR1C2	CHRNA7
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	CRTC2
CRTC2	CREBBP
CRTC2	EP300
OGT	AKT3
AKT3	JUN
SRD5A1	HSD17B6
AKT3	NFKB1
OGT	NR1H3
NR1H3	RXRA
AKT3	RELA
SRD5A2	UGT2B11
SRD5A2	AKR1C2
SRD5A2	HSD17B6
SRD5A3	UGT2B11
SRD5A3	AKR1C2
SRD5A3	HSD17B6
CACNG1	RASGRP3
RASGRP3	HRAS
HRAS	MAPK1
HRAS	PIK3R5
HRAS	FOS
HRAS	MAPK8
HRAS	MAP3K1
HRAS	RAF1
HRAS	MAPK9
HRAS	MAPK10
CACNA2D1	RASGRP3
CACNA2D2	RASGRP3
CACNA2D3	RASGRP3
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREB1
CAMK2A	CREBBP
CACNA1C	INS
INS	PIK3R5
CAMK2A	EP300
CALML6	HRAS
INS	MAPK1
CAMK2A	STAT1
INS	KIT
KIT	STAT3
INS	NGFR
