DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
MAPK8	TP53
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	PIK3R5
PIK3R5	HIF1A
JAK2	STAT3
STAT3	MYC
ADCY1	PRKACA
PRKACA	MAPK1
PRKACA	MAPK3
PRKACA	NFKB1
PRKACA	RELA
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKACA	CREBBP
CREBBP	SP1
PRKACA	EP300
MAPK8	ELK1
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
NFKB1	NFKB2
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	ETS1
CREBBP	ARNT
ELK1	EGR1
PTK2B	RAC1
RAC1	MAPK1
MAPK1	JUN
RAC1	NFKB1
NFKB1	TP53
NFKB1	HIF1A
MAPK1	MYC
RAC1	MAPK3
RAC1	RELA
MAPK1	FOS
NFKB1	PPP2CA
PPP2CA	YAP1
PTK2B	SRC
SRC	CTNNB1
MAPK1	SMAD2
SMAD2	SP1
CTNNB1	CREBBP
CTNNB1	EP300
MAPK1	ELK1
SRC	STAT3
STAT3	PPARGC1A
PPARGC1A	PPARA
RAC1	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
HIF1A	ARNT
ATF6B	FOS
ATF4	FOS
FOS	CCND1
LEF1	MYC
TCF7	BIRC5
RBPJ	FCER2
CTNNB1	CCND3
ELK1	CCND1
RELA	IL6
CREB3L2	PCNA
CREBBP	PFKL
CREBBP	SLC2A1
EP300	PFKL
EP300	SLC2A1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	CCND1
WWTR1	FGF1
SMAD1	ID4
SMAD4	ID2
TEAD3	CTGF
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS2
STAT3	CCND3
STAT5A	SOCS5
PAX6	GCK
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RBPJ	HES5
TP53	SESN3
TP53	SERPINB5
TP53	BAX
EPAS1	PGF
ETS1	VEGFC
NFKB2	TRAF3
FOXO3	G6PC2
PPARA	CYP8B1
PPARD	CPT1A
PPARG	FABP4
RXRA	CYP4A11
RXRG	FABP3
ELK1	EGR1
MYC	CDK6
IRF7	IFNA14
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
MAPK3	IL18
SP3	ABCA1
USF2	CEACAM6
ATF1	CGA
RARG	CRABP2
NFKB1	CSF1
ETS1	CSF2
ATF2	INS
SP1	ITGA2
JUN	PLAT
EGR1	PLAU
ETS2	PLAU
PPARG	PTGS2
MYC	PTMA
USF2	PTPN6
NFIC	SFTPC
SP1	SOD1
HOXA4	TH
USF1	THBS1
SMAD4	TNNC1
E2F4	TOP1
