DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	RELA
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
MAPK8	TP53
UMPS	CYP2A6
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
PRKACA	CREB1
MAPK8	ELK1
ELK1	EGR1
PRKACA	CREB3
PRKACA	ATF2
PRKACA	ATF6B
PRKACA	ATF4
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	MYC
JAK2	PIK3R5
PIK3R5	HIF1A
PRKACA	MAPK1
MAPK1	ETS1
PRKACA	EP300
CREBBP	ARNT
PRKACA	MAPK3
PRKACA	PPARA
PPARA	RXRA
RXRA	RARB
PTK2B	RAC1
RAC1	RELA
RAC1	MAPK1
MAPK1	JUN
MAPK1	SMAD2
SMAD2	SP1
RAC1	NFKB1
NFKB1	TP53
MAPK1	FOS
MAPK1	CREB1
MAPK1	ELK1
MAPK1	CREB3
MAPK1	ATF2
MAPK1	ATF6B
MAPK1	ATF4
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
MAPK1	MYC
NFKB1	HIF1A
PTK2B	SRC
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
HIF1A	ARNT
RAC1	MAPK3
RAC1	PIK3R5
PIK3R5	THRA
THRA	RXRA
IFNG	IDO1
TNF	ICAM1
CREB3	CRH
CREB3	FOSB
CREB1	CRH
CREB1	FOSB
ATF2	CRH
ATF2	FOSB
ATF6B	CRH
ATF6B	FOSB
CREB3L4	NPY
CREB3L4	BDNF
ATF4	NPY
ATF4	BDNF
CREB3L2	CRH
CREB3L2	FOSB
ATF6B	FOS
ATF4	FOS
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ATF6B	IL8
MAPK9	JUN
CREBBP	ENO1
CREBBP	PFKFB1
EP300	ENO1
EP300	PFKFB1
HIF1A	ENO1
HIF1A	PFKFB1
STAT3	SOCS2
STAT3	CCND3
PAX6	GCK
MAPK3	CDK4
MAPK3	CCND1
NFKB1	IL1B
NFKB1	PLAU
RELA	PTGS2
RELB	ICAM1
RELB	CCL19
PIK3CA	AKT3
PIK3CD	AKT3
PIK3CG	PDPK1
PIK3R1	PDPK1
PIK3R3	PDPK1
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DQA2
MAPK3	IL18
RFX5	LOC100507709
SP1	CDK1
SP1	CDKN1C
USF1	CCNB1
USF2	CCNB1
ELK1	CCT8
EGR1	CD44
ATF4	CGA
SP3	COL2A1
USF1	CTSB
STAT1	EGFR
MYC	EIF4E
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
CREB1	IFNG
EGR1	IFNG
STAT4	IFNG
STAT5A	IFNG
CEBPA	IGF2
CEBPB	IGF2
FLI1	IGFBP3
SP1	IGFBP3
CEBPB	IL1A
CEBPD	IL1A
CREB1	IL1B
REL	IL1B
CREB1	IL2
CREM	IL2
ETS2	IL2
NFKB1	IL2
ATF2	INS
SP1	ITGA2
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
RARA	S100A8
SP1	SERPINE1
POU2F1	SPP1
PAX8	TG
STAT1	TIMP1
JUN	TNNC1
STAT1	TP53
ERG	VIM
