TNF	SELE
CREB3	NPY
CREB1	NPY
ATF2	NPY
ATF6B	NPY
ATF4	CRH
MAPK1	PDYN
CREB3L2	NPY
ATF6B	FOS
ATF4	FOS
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
FOS	CCND1
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
EGR3	FASLG
CREBBP	FIGF
EP300	FIGF
HIF1A	FIGF
ARNT	EDN1
ARNT	EGF
ARNT	FIGF
ARNT	PFKFB1
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
FOXO1	PCK1
STAT3	SOCS2
STAT3	CCND3
STAT5A	SOCS5
HNF1A	HNF4G
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	AKT1
PIK3R1	PDPK1
PIK3R2	AKT3
TP53	SESN3
NFKB1	TRAF3
FOXO3	PCK2
PPARD	CPT1C
RXRA	CPT2
RXRA	ACADL
MAPK14	IL1A
MAPK14	IL12B
MAPK14	TNF
MYD88	IFNA5
NFKB1	IL23A
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	HLA-DRB5
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DMA
MAPK3	IL18
MAPK10	IL12B
MAPK10	IL18
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
SP3	CD14
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
EGR1	COL2A1
SP3	COL2A1
TFAP2A	ERBB2
BRCA1	ESR1
STAT5A	ESR1
STAT5B	ESR1
CREB1	HMOX1
TFAP2A	HMOX1
REL	IFNG
STAT5B	IFNG
EGR1	IGF2
SP3	IGFBP3
SP1	IL1A
SP1	IL1B
EGR1	IL2
POU2F1	IL2
ATF2	INS
SP1	ITGA2
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
JUN	PLAT
EGR1	PLAU
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
RARG	S100A9
TFAP2A	TAF7
ATF1	TNF
CREB1	TRH
