AR	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	ETS2
MAPK1	JUN
MAPK1	ETS1
PRKACA	CREB1
PRKACA	XBP1
XBP1	CEBPA
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKACA	MAPK8
MAPK8	JUND
PRKACA	NFKB1
NFKB1	TP53
MAPK1	ESR1
MAPK1	ELK1
CEBPA	E2F1
MAPK1	SMAD2
SMAD2	E2F4
CEBPA	E2F2
CEBPA	E2F3
LEF1	PPARD
TP53	TP73
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
ELK1	EGR1
PRKACA	CREM
PRKACA	RELA
MAPK8	FOSB
NFKB1	NFKB2
PRKACA	ATF1
CREB3L4	FOS
CREB3L2	FOS
GLI2	WNT5A
GLI2	WNT7A
GLI2	WNT8A
TFDP2	CCNE1
TP53	GADD45A
JUN	CCND2
ATF2	PCNA
EGR2	FASLG
ATF4	IL8
MAPK9	JUN
MAPK10	JUN
CREB3L3	IL8
CREBBP	EDN1
CREBBP	ALDOA
CREBBP	HK2
CREBBP	PFKFB1
CREBBP	PFKFB3
CREBBP	TFRC
EP300	EDN1
EP300	ALDOA
EP300	HK2
EP300	PFKFB1
EP300	PFKFB3
EP300	TFRC
HIF1A	EDN1
HIF1A	ALDOA
HIF1A	HK2
HIF1A	PFKFB1
HIF1A	PFKFB3
SMAD2	CTGF
MITF	TYRP1
TCF7L1	MITF
NFKB1	IL1B
NFKB1	PLAU
RELB	ICAM1
PIK3CB	AKT3
PIK3CG	PDPK1
TP53	CD82
JUN	MMP2
CREB1	HLA-DPB1
MAPK14	IL1A
MAPK14	IL12B
MAPK14	TNF
MYD88	IFNA5
MYD88	IFNA6
MYD88	IFNA8
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK1	TNF
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
RFXAP	LOC100507714
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
MYBL2	CDKN1C
NFIC	TINAGL1
CEBPA	ABCB1
CEBPB	ABCB1
ATF2	CGA
ESR1	EGFR
ESR2	EGFR
NFKB2	EGFR
PPARG	EGFR
STAT3	FOS
ETS1	FOSL1
ETS2	FOSL1
JUN	FOSL1
STAT3	IRF1
SPI1	ITGB2
ERG	MMP2
FLI1	MMP2
SPI1	MMP2
ETS1	NFKB1
JUN	NFKB2
MYBL2	RBL1
RELA	S100A6
RARB	S100A9
SPI1	SERPINB1
SP1	SERPINE1
JUN	SFTPA1
MYBL2	SP1
JUN	SPP1
SP1	TAF7
JUN	TFPI2
PAX8	TG
CREB1	TH
CREB1	TIMP1
SMAD4	TIMP1
CEBPA	TK1
ELK1	TNF
JUN	TNNC1
SMAD2	TNNC1
MYC	TP53
PAX5	TP53
SP1	TPI1
POU2F1	TXNRD1
ERG	VIM
ERG	VWF
