TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	NFKB1
PRKACA	RELA
PRKACA	PPARA
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
NFKB1	NFKB2
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKACA	MAPK1
MAPK1	MYC
MAPK8	ELK1
PRKACA	EP300
ATF6B	ARC
ATF4	ARC
JUN	RELA
CREB3L4	PCNA
CREBBP	EPO
HIF1A	TFRC
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
YAP1	ID1
YAP1	AREGB
WWTR1	BIRC5
SMAD2	SERPINE1
STAT5B	SOCS7
VDR	SLC34A2
BBC3	TP53
EPAS1	PDGFB
FOS	VEGFB
NFKB1	TRAF3
NFKB2	BIRC2
NFKB2	TRAF2
FOXO3	PCK2
CREB3L3	BCL2
CREB3L1	MCL1
PPARA	CYP7A1
PPARD	CPT1C
PPARD	UBC
PPARD	UCP1
PPARG	CYP27A1
RXRA	CPT2
RXRA	ACSL1
RXRA	ACSL3
RXRG	EHHADH
IRF7	IFNA8
TP53	CCND1
NFKB1	COL1A1
SP1	DKC1
TP53	IL8
CEBPA	ITGA2
CREM	PLAT
RARA	S100A9
NFIC	STMN1
