HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	RAF1
RAF1	RELA
HRAS	JUN
RAF1	NFKB1
HRAS	MAPK1
MAPK1	CREB1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	ELK4
MAPK1	ETS1
ETS1	SRF
HRAS	MAPK14
MAPK14	CEBPB
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	ESR1
MAPK1	STAT3
MAPK1	ELK1
ELK1	EGR1
ITGB2	PIK3R5
PIK3R5	AKT3
AKT3	RELA
AKT3	JUN
AKT3	NFKB1
AKT3	CREB1
PIK3R5	PLCE1
ITGB2	PTK2
PTK2	MAPK1
PIK3R5	GSK3B
GSK3B	NFATC2
NFATC2	SRF
PTK2	MAPK14
ITGB2	SRC
SRC	STAT3
STAT3	ESR1
NR3C2	ATP1A3
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
NFKB1	CCL5
MAPK12	IL8
ELK1	BIRC2
ELK1	BIRC3
RELA	MMP9
RELA	TNF
CREBBP	PGF
CREBBP	PGK1
EP300	PGF
EP300	PGK1
TEAD4	AXIN1
SOS1	CCND3
SOS2	SPRY3
PIK3CD	AKT2
RXRB	ACSBG1
NFYB	HLA-DQA2
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
LEF1	PPARD
TCF7	PPARD
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
USF2	APOC3
ESR1	APOE
PPARG	APOE
USF1	APOE
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
USF2	CTSB
SP1	CTSL
STAT1	EGFR
ETS1	IL5
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
ATF1	PPP2R4
ATF2	PTGS2
ESR1	PTMA
EGR1	PTP4A1
ETS1	SLC26A3
CREB1	SLC9A1
HOXA5	TH
TFAP2A	TH
SP3	TNNC1
SP3	TNPO1
