SOAT1	CEL
CEL	PPAP2A
PPAP2A	PRKCD
PRKCD	SRC
SRC	STAT3
CEL	DGKK
DGKK	PLCE1
PLCE1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
DGKK	PLCB1
PLCB1	EGFR
EGFR	STAT5A
EGFR	STAT5B
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	JUN
PRKCE	TJP1
TJP1	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PLCB1	CAMK2A
CAMK2A	STAT1
PRKCE	PPP1CA
PPP1CA	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
EGFR	SOS1
EGFR	SOS2
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
MAPK8	SMAD3
SMAD3	E2F4
MAPK8	TP53
MAPK8	ELK1
ANPEP	GGT1
GGT1	GSTO2
GSTO2	CYP2A13
CYP2A13	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
GGT1	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PRKACA
JAK2	STAT5A
JAK2	STAT5B
PRKCA	HRAS
HRAS	JUN
PRKCA	MAPK1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
JAK2	STAT1
MAPK1	SMAD2
SMAD2	YAP1
JAK2	PTPN11
PTPN11	SOS1
PTPN11	SOS2
JAK2	STAT2
JAK2	STAT4
JAK2	STAT6
SMAD2	E2F4
MAPK1	TP53
PRKCA	TJP1
MAPK1	ELK1
JUN	GRIA2
JUN	NFKB1
LEF1	BIRC5
LEF1	MYC
LEF1	CCND1
TCF7	BIRC5
ARNT	ALDOA
ARNT	FIGF
ARNT	TFRC
ARNT	TIMP1
NFKB1	HIF1A
RELA	HIF1A
YAP1	BBC3
YAP1	GLI2
YAP1	SERPINE1
YAP1	CCND1
WWTR1	AFP
WWTR1	FGF1
SMAD1	ID3
SMAD1	ID4
SMAD4	ID1
SMAD4	ID2
TCF7	NKD1
TCF7	CCND2
TCF7L2	CCND2
TCF7L2	CCND3
TEAD1	SNAI2
TEAD1	SOX2
TEAD4	BIRC5
TEAD4	MYC
TEAD4	CCND3
TEAD3	CTGF
TEAD3	AXIN1
TEAD3	AXIN2
TCF7L1	AXIN1
TCF7L1	AXIN2
TEAD2	MYC
TEAD2	CCND1
SMAD3	SLC2A1
SMAD4	SLC2A1
RFXAP	HLA-DMA
EGR1	COL2A1
SP3	COL2A1
TFAP2A	HMOX1
ATF2	PLAT
CREB1	PLAT
TFAP2A	PLAT
EGR1	PLAU
ETS1	PLAU
ETS2	PLAU
