ATF6B	BDNF
CREB3L4	CRH
NPAS2	PER2
CLOCK	RORC
MAPK11	IL8
RBPJL	FCER2
SOS1	SPRY4
RBPJ	PTCRA
TP53	PTEN
JUN	VEGFC
NFKB2	TRAF1
PIAS2	CDKN2B
PPARA	CYP4A11
PPARA	HMGCS2
PPARG	CPT1B
PPARG	MMP1
RXRA	ACSBG1
RXRA	UCP1
RXRA	SCD5
RXRB	CPT1A
RXRB	CPT1B
RXRB	CYP4A22
RXRB	ACAA1
RXRB	CD36
MAPK8	IL8
SMAD2	PITX2
SMAD9	ID3
FOS	CCL3
IRF3	CD80
IRF5	CCL3
IRF7	IFNA7
MAPK11	TNF
MAPK9	IL18
RFX5	HLA-DQA1
RFX5	HLA-DQA2
NFAT5	PTGS2
SP1	CAV1
MYC	CCNB1
PPARG	GADD45B
ATF1	GH2
CREB1	GH2
NFIC	GH2
ATF1	IL1B
CEBPB	IL1B
BRCA1	PCNA
FOS	PDHA1
NFKB1	PPP2R4
CEBPB	PTGS2
