TUBB	ARHGEF2
ARHGEF2	RHOA
RHOA	MAPK8
MAPK8	SMAD3
SMAD3	E2F4
SMAD3	SP1
SMAD3	CREBBP
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
MAPK8	TP53
MAPK8	JUN
RHOA	RAF1
RAF1	AKT3
AKT3	CREB1
AKT3	CREB3
MAPK8	ATF2
AKT3	ATF6B
AKT3	ATF4
AKT3	CREB3L2
AKT3	CREB3L1
AKT3	CREB5
RAF1	NFKB1
NFKB1	MYB
RAF1	MAPK1
MAPK1	ETS2
MAPK1	STAT3
NFKB1	HIF1A
MAPK8	FOS
MAPK1	STAT1
NFKB1	CEBPB
RHOA	PLCE1
PLCE1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
MAPK1	MYC
MAPK1	ETS1
MAPK8	ELK1
ELK1	EGR1
TNF	ICAM1
CREB3	FOSB
CREB1	FOSB
ATF2	FOSB
ATF6B	FOSB
CREB3L4	BDNF
ATF4	BDNF
CREB3L2	FOSB
CREB3L1	CRH
CREB3L1	BDNF
TFDP2	CCNE2
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
TEAD1	SOX2
TEAD3	CTGF
FOXO1	PCK1
MAPK1	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
NFKB1	CEBPB
NFKB1	IL23A
NFYA	LOC100507709
MAPK10	IL12B
MAPK10	IL18
RFXAP	LOC100509457
RFXAP	HLA-DMA
SP1	CD14
SP2	CD14
EGR1	COL2A1
SP3	COL2A1
REL	CSF2
CEBPA	GPX4
CREM	GPX4
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
ERG	HMOX1
TFAP2A	HMOX1
EGR1	IFNG
STAT5A	IFNG
CEBPB	IGF2
SP1	IGFBP3
CEBPD	IL1A
REL	IL1B
CREM	IL2
NFKB1	IL2
REL	IL2RA
STAT3	IL2RA
SPI1	NFKB1
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
