AR	PRKACA
PRKACA	NFKB1
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
PRKACA	MAPK1
MAPK1	STAT3
NFKB1	CEBPB
PRKACA	RELA
MAPK1	JUN
MAPK1	ELK1
PRKACA	CTNNB1
CTNNB1	LEF1
NFKB1	NFKB2
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKACA	CREB1
CYP21A2	HSD11B1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
HSD11B1	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
PRKCA	HRAS
HRAS	MAPK14
MAPK14	CEBPB
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	JUN
PRKCA	MAPK1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
PRKCA	CREB1
CYP19A1	CYP3A4
CYP3A4	PLA2G4B
CYP19A1	CYP11B2
CYP11B2	HSD11B1
ATF6B	ARC
ATF4	ARC
JUN	RELA
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
SMAD2	SERPINE1
STAT5A	SOCS2
STAT6	CCND1
BBC3	TP53
MYD88	IFNA8
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
SP2	CD14
SP1	GH2
TP53	IL8
CEBPA	ITGA2
CREM	PLAT
