SLC12A2	PRKACA
PRKACA	MAPK1
MAPK1	JUN
MAPK1	MYC
MAPK1	FOS
MAPK1	ETS1
PRKACA	MAPK3
MAPK1	ESR1
PRKACA	NFKB1
NFKB1	TP53
PRKACA	MAPK14
MAPK14	MAX
PRKACA	RELA
MAPK1	STAT3
PRKACA	CREBBP
CREBBP	SP1
MAPK1	STAT1
PRKACA	PSEN1
PSEN1	ATF6
MAPK1	ELK1
ELK1	EGR1
NFKB1	NFKB2
NFKB2	RELB
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
PRKACA	CREB1
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
NFKB1	PPP2CA
PPP2CA	YAP1
PRKACA	PPARA
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
PRKACA	MAPK8
MAPK8	JUND
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	SMAD2
SMAD2	E2F4
NFKB1	CEBPB
NFKB1	TRAF6
TRAF6	MYD88
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
TCF7	BIRC5
NFKB1	CCL5
MAPK12	IL8
RBPJ	FCER2
CTNNB1	CCND3
NFAT5	TNF
MAPK9	SMAD4
RELA	IL6
CREB5	IL8
CREBBP	PFKFB2
CREBBP	PFKL
CREBBP	VEGFC
EP300	PFKFB2
EP300	PFKL
EP300	VEGFC
HIF1A	PFKFB2
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
ARNT	EDN1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	AXIN2
TEAD1	CCND2
TEAD4	MYC
TEAD4	SNAI2
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	GLI2
TEAD3	BIRC5
TEAD3	AXIN2
TEAD3	CCND2
TP73	BBC3
TCF7L1	AXIN2
TCF7L1	CCND2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	SOX2
TEAD2	AXIN2
SMAD4	SLC2A1
FOXO1	G6PC
SOS1	SPRED3
STAT3	SOCS2
STAT3	CCND3
STAT5A	SOCS5
STAT5B	SOCS4
STAT5B	SOCS7
STAT6	CCND2
STAT6	CCND3
STAT6	SOCS3
PAX6	GCK
PAX6	INS
TCF7	MITF
MAPK1	CDK4
MAPK1	CCND1
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
NFKB2	ICAM1
RELA	PTGS2
RELB	CCL13
RELB	CCL19
PIK3CA	AKT1
PIK3CD	AKT3
PIK3R1	AKT3
PIK3R1	PDPK1
RBPJL	PTCRA
ETS1	VEGFB
RXRA	ACADL
RXRA	PLTP
RXRB	ACSBG1
RXRG	FADS2
MAX	CDK4
NFYC	HLA-DMA
MAPK3	IL18
MAPK11	IL18
MAPK11	NOS2
RFX5	LOC100507709
RFXAP	HLA-DMB
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
MAPK12	IL1A
RFXANK	HLA-DRB5
RFXANK	CD74
PDX1	INS
CREB3	AQP2
CREB1	AQP2
CREB3L4	AQP2
ESR1	APOE
PPARG	APOE
USF1	APOE
USF2	APOE
TP53	AQP1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
RARG	CRABP2
NFKB1	CSF1
ETS1	CSF2
SP3	DNASE2
PAX5	FCER2
CEBPA	FN1
POU2F1	HIST2H2BE
FOS	HLA-DRA
CREB1	HMOX1
TFAP2A	HMOX1
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
ETS2	PLAU
ATF1	PPP2R4
ATF2	PTGS2
PPARG	PTGS2
MYC	PTMA
TP53	RELA
USF2	SERPINE1
NFIC	SFTPC
SP1	SPN
ATF1	TH
HOXA4	TH
JUN	TIMP1
NFKB1	TNNC1
SMAD4	TNNC1
JUN	TP53
ETV4	VIM
ETS1	VWF
ETS2	VWF
NFIC	VWF
