PDE3A	ADCY1
ADCY1	PRKACA
PRKACA	NFKB1
NFKB1	HIF1A
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
PRKACA	CREBBP
PRKACA	EP300
CREBBP	ARNT
MAPK8	FOXO3
MAPK8	JUN
PRKACA	GSK3B
GSK3B	ARNTL
PRKACA	PRKAG2
PRKAG2	CRY1
CRY1	NPAS2
GSK3B	CLOCK
PRKACA	CREB1
MAPK8	SMAD3
SMAD3	RBL1
RBL1	TFDP2
MAPK8	ELK1
ELK1	SPI1
PRKACA	RELA
ELK1	EGR1
GLI3	GLI1
GLI3	WNT7A
GLI3	WNT8B
GLI3	WNT5B
NR1H4	SLC51B
E2F1	CCNE2
E2F3	CCNE1
NFKB1	CCL5
MAPK12	IL8
RBPJ	FCER2
CTNNB1	CCND3
RELA	IL6
CREBBP	PFKL
EP300	PFKL
STAT5A	MYC
STAT6	SOCS7
NFKB1	FIGF
RXRB	ACSBG1
NFYA	HLA-DOA
PPARG	APOE
USF1	APOE
USF2	B2M
TP53	BAK1
SP2	CD14
USF2	CTSB
SP1	CTSL
RELA	MMP3
E2F1	MYB
EGR1	MYB
MYC	MYC
JUN	MYC
RELA	MYC
TP53	MYC
ATF1	PPP2R4
ATF2	PTGS2
PPARG	PTGS2
MYC	PTMA
NFIC	SFTPC
HOXA4	TH
SMAD4	TNNC1
