KCNQ1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
NFKB1	TP53
PRKACA	MAPK1
MAPK1	MYC
MAPK1	JUN
MAPK1	ETS1
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
MAPK1	SMAD3
PRKACA	PSEN1
PSEN1	ATF6
MAPK1	ESR1
MAPK1	SMAD2
MAPK1	SMAD4
PRKACA	CREB1
PRKACA	RELA
PRKACA	ATF2
MAPK1	STAT3
MYC	ZBTB17
MYC	PIAS2
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PRKACA	ATF1
SMAD2	E2F4
NFKB1	PPP2CA
PPP2CA	YAP1
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKACA	XBP1
XBP1	CEBPA
MAPK1	FOS
MAPK1	STAT1
PRKACA	MAPK3
MAPK1	ELK1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
NFKB1	NFKB2
PRKACA	ATF4
PRKACA	PPARA
ATF6B	FOS
ATF4	FOS
GLI2	WNT10B
GLI2	WNT11
GLI2	WNT2B
GLI2	WNT9A
GLI2	WNT9B
GLI2	WNT10A
GLI3	WNT16
GLI3	BMP4
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
FOS	CCND1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND2
ATF6B	IL8
EGR3	FASLG
NFKB1	TNF
MAPK10	SMAD4
CREBBP	ENO1
CREBBP	FIGF
CREBBP	SERPINE1
CREBBP	PFKFB4
EP300	ENO1
EP300	FIGF
EP300	SERPINE1
EP300	PFKFB4
HIF1A	ENO1
HIF1A	FIGF
HIF1A	SERPINE1
ARNT	EDN1
ARNT	EGF
ARNT	ANGPT4
ARNT	PFKFB1
ARNT	PGK1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
TEAD1	GLI2
TEAD4	AXIN1
FOXO1	PCK1
SOS1	SPRY3
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS4
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS1
STAT3	SOCS2
STAT3	CCND3
STAT4	CCND1
STAT5B	MYC
PAX6	GCK
HNF1A	HNF4G
TCF7	MITF
MAPK3	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RBPJ	HES1
TP53	SESN3
TP53	GTSE1
TP53	BAI1
TP53	PERP
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
NFYA	HLA-DQA1
MAPK8	IL18
MAPK9	IL1B
MAPK9	IL6
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
USF2	ABCA1
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
ELK1	CCT8
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP3	COL2A1
BRCA1	ESR1
PPARG	ESR1
STAT5A	ESR1
STAT5B	ESR1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
TFAP2A	HMOX1
ATF2	INS
SP1	ITGA2
TP53	MMP2
ERG	MMP3
ETS1	MMP3
ETS2	MMP3
ETV4	MMP3
FLI1	MMP3
JUN	MMP7
PPARG	MMP9
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
JUN	PLAT
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF2	PTGS2
RARA	S100A8
RARG	S100A9
PPARA	SERPINE1
POU2F1	SFTPA1
POU2F1	SPP1
TFAP2A	TAF7
JUN	TFRC
CREM	TH
STAT1	TIMP1
ATF1	TNF
ERG	TNNC1
SMAD3	TNNC1
STAT1	TP53
CREB1	TRH
HIF1A	VHL
