AR	PRKACA
PRKACA	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	CREB1
PRKACA	NFKB1
PRKACA	RELA
MAPK1	MYC
NFKB1	TP53
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	ATF2
PRKACA	ATF4
PRKACA	ATF6B
PRKACA	CREB5
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
PRKACA	CREBBP
PRKACA	EP300
MAPK1	JUN
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
NFKB1	HIF1A
CREBBP	ARNT
CREBBP	SP1
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
MAPK1	ESR1
MAPK1	SMAD4
MAPK1	ETS1
MAPK1	STAT3
PRKACA	PPARA
MAPK1	SMAD3
NFKB1	PPP2CA
PPP2CA	YAP1
MAPK1	FOS
LEF1	PPARD
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
NFKB1	MYB
MAPK1	STAT1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PML	JUP
RARA	JUP
ZBTB16	JUP
RUNX1	JUP
RUNX1T1	JUP
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
GLI3	PTCH1
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND2
JUN	CCND2
CREB3	PCNA
CREB1	IL8
SMAD3	MYC
MAPK9	JUN
MAPK10	SMAD4
CREB3L3	IL8
CREB3L1	PCNA
CREB5	PCNA
CREBBP	HK1
CREBBP	PFKFB1
CREBBP	PFKFB4
CREBBP	TFRC
CREBBP	VEGFB
CREBBP	HKDC1
EP300	HK1
EP300	PFKFB1
EP300	PFKFB4
EP300	TFRC
EP300	VEGFB
EP300	HKDC1
HIF1A	HK1
HIF1A	PFKFB1
HIF1A	TIMP1
HIF1A	VEGFC
ARNT	EDN1
ARNT	PFKL
YAP1	ID2
YAP1	ID3
YAP1	AXIN1
YAP1	AXIN2
WWTR1	ITGB2
WWTR1	AREG
TEAD1	GLI2
TEAD4	AXIN1
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS4
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS1
STAT5A	SOCS7
STAT6	SOCS4
CREB1	MITF
LEF1	MITF
MAPK3	CDK4
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELB	ICAM1
PIK3CA	AKT3
PIK3CG	PDPK1
PIK3R3	PDPK1
EPAS1	TGFA
ETS1	MMP1
MAX	CKS2
NFKB2	TRAF4
CREB3	BCL2
PPARA	ACSL1
PPARA	LPL
PPARG	ACSBG1
PPARG	PLIN1
RXRA	UBC
RXRB	GK2
RXRG	EHHADH
IRF7	IFNA8
MYD88	IFNA6
MYD88	IFNA13
NFYA	HLA-DOB
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK1	IL18
MAPK8	IL18
MAPK11	IL12B
MAPK9	TNF
MAPK10	IL6
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RFX5	HLA-DQA1
RFXAP	LOC100507714
RFXAP	HLA-DRA
RFXANK	HLA-DMB
RFXANK	HLA-DOA
NFAT5	PTGS2
TCF7L1	MMP7
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
SP1	COL4A2
SP1	ADA
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP2	CD14
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
SP3	CHI3L1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
REL	CSF2
USF2	CTSB
SP1	CTSL
ETS1	DNTT
USF1	FBP1
PPARG	GADD45A
RARA	GADD45A
USF1	HMOX1
USF2	HMOX1
ETS1	HPGD
NFIC	HRAS
CEBPA	ICAM1
CREB1	ICAM1
CREM	ICAM1
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
ETV4	MMP9
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
USF2	PTGS2
MYBL2	RBL1
SP1	RELA
CREB1	REN
SPI1	SCARB2
SP1	SERPINE1
POU2F1	SFTPA1
MYBL2	SP1
USF2	SP1
ETS1	SPP1
EGR1	TFPI2
PAX8	TG
CREM	TH
CREB1	TIMP1
FOS	TIMP1
JUNB	TIMP1
EGR4	TNF
JUN	TNNC1
SMAD3	TNNC1
MYC	TP53
HIF1A	TP53
NFIC	TP53
JUN	TXN
ERG	VIM
