DHODH	UMPS
UMPS	CYP2A6
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	PPARG
UMPS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	NFKB1
PRKACA	PPARA
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
PTK2B	RAC1
RAC1	PIK3R5
PIK3R5	MTOR
RAC1	NFKB1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
RAC1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	JUN
MAX	CKS2
MYC	VEGFB
NFKB2	TRAF4
FOXO3	BCL2L11
PPARA	ACSL1
PPARA	SCD5
PPARG	ACSBG1
RXRA	SLC27A4
SP1	ADA
SP3	CCND1
TP53	CCND1
USF1	CCND1
ELK1	CCT8
TP53	CHEK1
