HRH1	GNAQ
GNAQ	HRAS
HRAS	MAPK14
MAPK14	CEBPB
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
HRAS	MAPK1
MAPK1	ATF2
HRAS	RAF1
RAF1	NFKB1
MAPK1	CREB1
RAF1	RELA
HRAS	MAPK8
MAPK8	NFATC1
MAPK8	NFATC3
GNAQ	PLCB1
PLCB1	PPP3CA
PPP3CA	NFATC4
HRAS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
PLCB1	CAMK2A
CAMK2A	ATF1
NFKB1	NFKB2
MAPK1	STAT3
STAT4	SOCS5
STAT5B	SOCS3
TP53	SESN1
CREB1	HLA-DRA
CREB1	HLA-DRB1
CREB1	HLA-DRB3
MAPK1	NOS2
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
SP1	REL
PPARA	CYP1A1
SP1	CYP1A1
USF1	CYP1A1
SP1	CYP21A2
JUNB	DCN
E2F4	DHFR
