TPO	GOT1
GOT1	ASS1
ASS1	NOS1
NOS1	HRAS
HRAS	JUN
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
ASS1	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
CREBBP	ARNT
MAPK1	NFKB1
MAPK1	RELA
HRAS	FOS
MAPK1	ETS1
MAPK1	MYC
NOS1	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK1	TP53
CREBBP	EPAS1
MAPK8	SMAD4
CREBBP	PDK1
EP300	PDK1
HIF1A	PDK1
LEF1	CCND2
TCF7	CCND3
LEF1	MITF
NFKB1	CXCL2
NFKB1	NFKBIA
RELA	NFKB2
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
MYB	TSC22D3
MYBL1	TSC22D3
PPARG	SERPINE1
CREB1	TG
FLI1	TNNC1
TFAP2A	VHL
