ADRA1A	PRKAG2
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	TP53
CRTC2	CREB1
CRTC2	ATF2
CRTC2	ATF4
CRTC2	CREB3
PRKAG2	MTOR
MTOR	AKT3
AKT3	ATF6B
CRTC2	CREB3L2
CRTC2	CREB3L1
CRTC2	CREB5
PRKAG2	FOXO3
FOXO3	RBL2
RBL2	E2F4
AKT3	NFKB1
AKT3	RELA
GLI3	WNT5A
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
NFYB	HLA-DRB4
NFYB	CD74
RFXANK	HLA-DRB5
CREB3	AQP2
CREB3L4	AQP2
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
USF2	CTSB
ERG	HMOX1
JUN	MT1A
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
PPARG	PTGS2
REL	PTGS2
USF1	PTGS2
