AR	PRKACA
PRKACA	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	NFKB1
NFKB1	TP53
MAPK1	JUN
MAPK1	MYC
PRKACA	CREBBP
CREBBP	SP1
NFKB1	MYB
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
MAPK1	STAT1
CEBPA	E2F2
CEBPA	E2F3
PRKACA	RELA
PRKACA	CREB1
MAPK1	ESR1
PRKACA	ATF2
PRKACA	ATF4
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
NFKB1	PPP2CA
PPP2CA	YAP1
MAPK1	STAT3
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK1	FOS
CREBBP	RBPJL
CREBBP	RBPJ
MAPK1	SMAD3
MAPK1	ETS1
PRKACA	MAPK14
MAPK14	MAX
PRKACA	MAPK3
PRKACA	PPARA
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
NFKB1	CCND1
CCND1	RB1
RB1	TFDP2
NFKB1	HIF1A
MAPK1	ELK1
ELK1	EGR1
JUP	MYC
IFNG	IDO1
CREB3	CRH
CREB1	CRH
ATF2	CRH
ATF6B	CRH
CREB3L4	NPY
ATF4	NPY
CREB3L2	CRH
GLI2	WNT6
GLI2	WNT7B
GLI2	WNT8B
GLI3	GLI1
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
STAT3	SOCS2
STAT3	CCND3
PAX6	PDX1
HNF1A	FOXA3
TCF7	MITF
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
STAT3	VEGFA
ETS1	VEGFB
JUN	PGF
NFKB1	CCND1
NFKB2	XIAP
FOXO3	PCK1
CREB5	MCL1
PPARA	FADS2
PPARD	ACOX3
RXRA	CPT1B
RXRA	ACADL
NFKB1	CEBPB
NFKB1	IL23A
NFYB	HLA-DQA2
NFYC	HLA-DQA2
MAPK1	NOS2
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12A
MAPK10	IL12B
RFXAP	CD74
MAPK12	IL1A
RFXANK	HLA-DMA
SP1	COL4A2
USF2	ABCA1
CREB1	ADRB2
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
USF2	CTSB
SP1	CTSL
SP3	CTSL
SP1	DKC1
SP3	DKC1
SP1	EGFR
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
CEBPB	HP
CREB1	IFNG
STAT4	IFNG
CEBPA	IGF2
FLI1	IGFBP3
CEBPB	IL1A
CREB1	IL1B
CREB1	IL2
ETS2	IL2
ETV4	MMP2
SP1	MMP2
TFAP2A	MMP2
RELA	MMP3
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
PAX6	PDHX
JUN	PENK
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
