HNMT	MAOA
MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
MAOA	CYP3A4
CYP3A4	CBR1
CBR1	CHRNA7
CHRNA7	JAK2
JAK2	STAT5A
JAK2	STAT5B
PRKCA	MTOR
MTOR	HIF1A
PRKCA	EGLN2
EGLN2	EPAS1
PRKCA	MAPK1
MAPK1	STAT1
MAPK1	STAT3
PRKCA	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
MAPK1	SMAD2
SMAD2	SP1
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
HIF1A	ARNT
MAPK1	MYC
MAPK1	TP53
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
NFKB1	NFKB2
MAPK1	ELK1
ELK1	EGR1
MAPK1	ETS1
PRKCA	HRAS
HRAS	JUN
CREB3L4	FOS
CREB3L2	FOS
GLI3	WNT1
GLI3	WNT2
NFATC4	TNF
MAPK8	SMAD4
CREBBP	NOS2
CREBBP	PDK1
EP300	NOS2
EP300	PDK1
HIF1A	NOS2
HIF1A	PDK1
SMAD4	ID3
LEF1	MITF
CREB3L2	MITF
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
NFKB2	CXCL12
RELA	CXCL2
RELA	NFKB2
RELA	TNFAIP3
RELB	TNFSF13B
PIK3CA	PDPK1
PIK3CD	AKT2
PIK3CG	AKT2
PLCG1	EGFR
PIK3R3	AKT2
TP53	CD82
MAPK8	IL18
NFATC1	PTGS2
SP1	ADA
POU2F1	AKR1C3
CEBPA	ALB
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
JUN	ALDOA
SP1	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
SMAD3	ANKRD1
TP53	APCS
SP1	APEX1
SPI1	B2M
USF1	B2M
REL	F3
STAT3	IRF1
SPI1	ITGB2
SMAD3	MMP9
SP1	MMP9
EPAS1	SERPINE1
PPARG	SERPINE1
ATF1	TFRC
CREB1	TG
SP3	TNF
FLI1	TNNC1
ESR1	UBE2L3
TFAP2A	VHL
