HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	RAF1
RAF1	RELA
RAF1	NFKB1
HRAS	MAPK14
MAPK14	CEBPB
HRAS	MAPK1
MAPK1	STAT3
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
MAPK1	SMAD2
SMAD2	E2F4
HRAS	JUN
HRAS	FOS
MAPK1	TP53
MAPK1	MYC
MAPK1	ETS1
ITGB2	PIK3R5
PIK3R5	AKT3
AKT3	RELA
AKT3	NFKB1
ITGB2	PTK2
PTK2	MAPK14
ITGB2	SRC
SRC	STAT3
PIK3R5	PLCE1
AKT3	IKBKG
PTK2	MAPK1
AKT3	JUN
PIK3R5	HRAS
PIK3R5	GSK3B
GSK3B	MYC
STAT4	CCND3
STAT5A	MYC
STAT5B	CCND2
STAT6	SOCS7
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RXRG	EHHADH
IRF7	IFNA8
MAPK10	IL12B
RFX5	LOC100507709
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
SP1	COL4A2
USF2	CEACAM5
USF1	CTSB
SP3	CTSL
