AR	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
PRKACA	CREBBP
CREBBP	SP1
PRKACA	PPARA
PPARA	RXRA
RXRA	RARB
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
PRKACA	RELA
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
NFKB1	NFKB2
PRKACA	MAPK1
MAPK1	ELK1
ELK1	EGR1
CREBBP	RXRB
CREBBP	RXRG
MAPK1	STAT1
CREBBP	EPAS1
MAPK1	STAT3
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
NFKB1	TRAF6
TRAF6	IRF7
TRAF6	MYD88
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
MAPK1	JUN
MAPK1	SMAD3
MAPK1	SMAD4
MAPK1	ETS1
ETS1	SPI1
PRKACA	GSK3B
GSK3B	ARNTL
PRKAG2	CRY1
CRY1	NPAS2
GSK3B	CLOCK
PRKACA	CREB1
MAPK1	FOS
RARA	JUP
RUNX1	JUP
RUNX1T1	JUP
CREB5	NPY
CREB5	BDNF
ATF6B	FOS
ATF4	FOS
GLI2	WNT6
GLI3	WNT3
GLI3	WNT8A
GLI3	WNT10B
GLI3	WNT3A
NR1H4	ABCC2
E2F2	CCNE2
E2F3	CCNE2
FOS	CCND1
ELK1	BIRC2
ATF6B	PCNA
CREB3L4	IL8
EP300	FASLG
MAPK9	JUN
RELA	MMP9
CREBBP	ENO2
CREBBP	ENO3
CREBBP	FLT1
CREBBP	PFKFB1
CREBBP	PGF
EP300	ENO2
EP300	ENO3
EP300	FLT1
EP300	PFKFB1
EP300	PGF
HIF1A	ENO2
HIF1A	ENO3
HIF1A	FLT1
HIF1A	PFKFB1
LEF1	CCND2
TCF7	BIRC2
TCF7	CCND3
TCF7L2	SNAI2
TEAD1	MYC
TEAD4	NKD1
LEF1	MITF
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELA	GADD45B
RELA	NFKBIA
RELB	ICAM1
PIK3CA	AKT3
PIK3CB	AKT2
PIK3CG	PDPK1
RBPJL	HES1
RBPJ	HES1
TP53	SESN3
TP53	RCHY1
TP53	GTSE1
TP53	PIDD
TP53	BAI1
EPAS1	FIGF
ETS1	MMP1
FOS	IL8
JUN	MMP1
MYC	MMP1
MYC	VEGFB
NFKB1	TRAF6
NFKB2	BCL2L1
RELA	TRAF4
CREB3	BCL2
FOXO3	BCL2L11
NFKB1	MYB
PPARA	CPT2
PPARA	ACAA1
PPARA	LPL
PPARA	SCD5
PPARD	ILK
PPARG	CPT1A
PPARG	LPL
PPARG	PLIN1
RXRA	SLC27A4
RXRA	DBI
RXRB	CYP4A11
RXRB	CYP8B1
RXRB	CYP27A1
RXRB	LPL
RXRG	SORBS1
RXRG	APOA5
RXRG	CPT1C
STAT1	CXCL9
NFYA	HLA-DPA1
NFYC	HLA-DPB1
NFYC	HLA-DQA1
MAPK1	TNF
MAPK11	IL18
MAPK11	NOS2
MAPK9	IL1B
MAPK9	IL6
MAPK9	IL12A
MAPK9	IL12B
MAPK10	IL6
RFX5	LOC100507714
RFX5	HLA-DOA
RFX5	HLA-DOB
RFX5	HLA-DQA1
RFX5	HLA-DQA2
RFXAP	HLA-DRA
RFXAP	HLA-DRB4
SP1	COL4A1
USF2	CALCA
E2F4	CAV1
REL	CSF2
USF1	HMOX1
USF2	HMOX1
NFIC	HRAS
CREB1	ICAM1
CREM	ICAM1
STAT5B	IL2RA
CEBPB	IL4
ATF2	INS
SP1	ITGA2
ETV4	MMP2
FOS	MT1A
CEBPE	MYB
ETS1	MYB
ESR1	MYC
MYB	MYC
TFAP2A	MYC
E2F4	MYCN
JUN	PLAT
ESR1	PTMA
RARB	S100A8
RARG	S100A8
TP53	S100B
SP1	SERPINE1
ETS1	SLC26A3
POU2F2	SPP1
SP1	SPP1
CEBPA	TF
PAX8	TG
HOXA5	TH
STAT3	TIMP1
TFAP2A	TIMP1
ATF2	TNF
JUN	TNNC1
SP3	TNNC1
TP53	TP53
USF1	TP53
STAT3	TRH
ERG	VIM
