CREB5	BDNF
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
CTNNB1	CCND2
ELK1	BIRC2
ATF6B	PCNA
MAPK10	SMAD4
RELA	MMP9
CREBBP	ENO2
CREBBP	PFKFB4
CREBBP	PGF
EP300	ENO2
EP300	PFKFB4
EP300	PGF
HIF1A	ENO2
HIF1A	PGK1
ARNT	FLT1
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
YAP1	BIRC2
YAP1	SNAI2
WWTR1	BBC3
TCF7	MITF
MAPK9	IL12B
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL6
MAPK13	IL12A
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RFXAP	HLA-DOA
STAT1	EGFR
E2F1	HIST1H2AM
CEBPB	IL4
TP53	MMP2
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
USF2	PTGS2
ESR1	PTMA
RARB	S100A8
POU2F1	SFTPA1
ETS1	SLC26A3
POU2F2	SPP1
CREM	TH
HOXA5	TH
STAT3	TIMP1
SMAD3	TNNC1
SP3	TNNC1
TP53	TP53
NFKB1	VWF
