TNF	VCAM1
CREB3	BDNF
ATF2	BDNF
TP53	GADD45G
STAT4	SOCS5
STAT5B	SOCS3
TP53	SESN1
FOS	MMP2
MYC	VEGFC
NFKB2	BIRC8
NFKB2	BIRC7
FOXO3	CDKN1B
CREB3L2	MCL1
PPARA	FABP1
PPARA	ACSBG2
PPARD	ACOX1
PPARG	ACSL4
RXRA	APOA5
RXRA	FABP4
RXRG	FABP4
IRF7	IFNA10
CREB1	HLA-DRA
CREB1	HLA-DRB1
CREB1	HLA-DRB3
MYD88	IFNA6
MYD88	IFNA13
NFYA	HLA-DQB1
NFYA	HLA-DRA
NFYA	HLA-DRB1
NFYA	HLA-DRB4
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
RFX5	HLA-DRB4
RFX5	HLA-DRB5
RFXAP	HLA-DRB4
MAPK12	IL6
TFAP2A	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
TFAP2A	COL1A1
NFIC	CSNK2A1
NFKB1	CSNK2A1
CEBPB	CSRP1
CREB1	CYP11A1
NFIC	CYP17A1
PPARA	CYP1A1
SP1	CYP1A1
SP3	CYP1A1
USF1	CYP1A1
SP1	CYP21A2
JUNB	DCN
MYC	DDX18
E2F4	DHFR
PAX5	FCER2
CEBPA	FN1
STAT1	IFNG
USF1	IFNG
TFAP2A	IGFBP3
BCL3	NFKB2
