PPARG	RXRA
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	TP53
CREBBP	CREB1
CREBBP	ATF2
CREBBP	ATF4
CREBBP	CREB3
CREBBP	ATF6B
CREBBP	CREB3L2
CREBBP	CREB3L1
CREBBP	CREB5
RXRA	THRB
THRB	CCND1
CCND1	RBL1
RBL1	E2F4
THRB	GATA4
GATA4	SRF
SRF	ETS1
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	TP53
GATM	NOS3
NOS3	CREB1
NOS3	ATF2
NOS3	ATF4
NOS3	CREB3
NOS3	ATF6B
NOS3	CREB3L2
NOS3	CREB3L1
NOS3	CREB5
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	ETS1
SERPINE1	PLAT
PLAT	PLG
PLG	PARD3
PARD3	PRKCZ
PRKCZ	MAPK1
PRKCZ	AKT3
AKT3	CREB1
AKT3	ATF2
AKT3	ATF4
AKT3	CREB3
AKT3	ATF6B
AKT3	CREB3L2
AKT3	CREB3L1
AKT3	CREB5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
PAX6	GCK
TCF7	MITF
SP2	CCND1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
USF1	CTSB
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
