HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	TP53
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	STAT1
MAPK1	CREB1
STAT1	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
PIK3R5	MTOR
MTOR	PPARG
MAPK1	SMAD2
SMAD2	SP1
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
SMAD2	E2F4
GLI3	BMP2
TCF7L2	MYC
STAT4	SOCS2
STAT5B	SOCS1
CREB1	MITF
CREB3L2	MITF
RBPJ	HES1
TP53	BAI1
RXRB	ACADM
RXRB	PCK1
RXRB	SCP2
RXRG	FABP3
RXRG	ACSL6
RXRG	APOA2
RXRG	AQP7
RXRG	PCK2
RXRG	PLIN1
RXRG	ACOX2
IRF7	IFNA14
JUN	IL6
JUN	CCL5
NFKB1	IL12B
RELA	CCL3L1
SPI1	ITGAM
CREB1	HLA-DOA
NFKB1	IL23A
MAPK10	IL12B
RFXAP	HLA-DOB
RFXAP	HLA-DPA1
ETS2	TWF2
ETV4	PLAUR
FLI1	POLR2A
FOS	PLAUR
ATF3	ASNS
ATF4	ASNS
SP3	CD14
EGR1	CD44
EGR1	COL2A1
SP3	COL2A1
ETS1	DNTT
STAT1	EGFR
ETS1	FOSL1
PPARA	MMP9
ATF1	PLAUR
