AR	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	MYC
NFKB1	MYB
MAPK1	JUN
MAPK1	STAT1
MAPK1	STAT3
PRKACA	RELA
MAPK1	ESR1
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
NFKB1	PPP2CA
PPP2CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	SMAD3
PRKACA	CREB1
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
PRKACA	ATF2
PRKACA	ATF4
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
MAPK1	ETS2
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
CEBPA	E2F2
CEBPA	E2F3
NFKB1	HIF1A
CREBBP	RBPJL
CREBBP	RBPJ
MAPK1	FOS
NFKB1	CCND1
CCND1	RB1
RB1	TFDP2
MAPK1	ELK4
PRKACA	NFATC1
NFATC1	SRF
PRKACA	MAPK14
MAPK14	MAX
JUP	MYC
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	FXYD4
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
ATF2	FOS
GLI2	WNT5A
GLI2	WNT6
GLI2	WNT7A
GLI2	WNT7B
GLI2	WNT8A
GLI2	WNT8B
GLI2	WNT3A
GLI3	GLI1
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
EP300	PDK1
HIF1A	TIMP1
ARNT	EDN1
YAP1	ID2
YAP1	ID3
YAP1	AXIN1
YAP1	AXIN2
WWTR1	ITGB2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
SOS1	CCND3
SOS2	SPRY3
STAT4	SOCS5
STAT5B	SOCS3
PAX6	GCK
PAX6	PDX1
LEF1	MITF
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R1	AKT1
PIK3R1	AKT2
PIK3R2	AKT3
PIK3R2	AKT1
PIK3R3	AKT2
RXRA	SLC27A1
NFKB1	CEBPB
NFKB1	IL23A
MAPK3	IL23A
MAPK8	IL18
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12A
MAPK10	IL12B
MAPK10	IL18
LEF1	PPARD
TCF7	JUN
TCF7	MMP7
TCF7	PPARD
SP1	COL4A2
CREB1	ADRB2
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP3	COL2A1
SP3	CTSL
SP1	CYP1A1
SP3	CYP1A1
SP1	CYP21A2
PPARG	GADD45A
TFAP2A	GPX4
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
CEBPB	HP
POU2F2	IL4
ETS1	IL5
JUND	IL5
SPI1	IL5
CEBPB	IL6
EGR1	IL6
REL	IL6
CEBPB	IL8
ERG	MMP2
ETV4	MMP2
FLI1	MMP2
SP1	MMP2
SPI1	MMP2
TFAP2A	MMP2
NFKB1	MMP3
RELA	MMP3
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
PAX6	PDHX
JUN	PENK
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
FLI1	TNNC1
