TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
MAPK8	FOS
PRKACA	MAPK1
MAPK1	ETS1
PRKACA	CREB1
MAPK8	SMAD3
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
MAPK1	STAT3
MAPK1	STAT1
MAPK8	JUND
MAPK8	SMAD4
MAPK8	JUNB
PRKACA	PPARA
PRKACA	RELA
RAPGEF3	MAPK14
MAPK14	ELK4
PRKACA	NFATC1
NFATC1	SRF
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
MAPK14	CEBPB
MAPK8	TP53
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
MAPK1	MYC
MAPK8	ELK1
ELK1	EGR1
MAPK1	ETS2
PRKACA	XBP1
XBP1	CEBPA
PRKACA	ATF2
NFKB1	TRAF6
TRAF6	MYD88
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
TRAF6	IRF7
PRKACA	ATF4
MAPK8	FOXO3
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
ELK1	SPI1
MAPK1	ESR1
PRKACA	ATF1
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
CREBBP	EPAS1
MAPK14	AKT3
AKT3	IRF3
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
PRKACA	MAPK3
RAPGEF3	MAPK11
RAPGEF3	MAPK13
RAPGEF3	MAPK9
RAPGEF3	MAPK10
TRAF6	IRF5
CTNNB1	HNF1A
NFKB1	NFKB2
MYD88	VDR
STAT3	IRF1
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PRKACA	CREM
CEBPA	E2F1
PPP1CA	WWTR1
RAPGEF3	RRAS2
RRAS2	PIK3R5
RRAS2	PIK3CA
RRAS2	PIK3CB
RRAS2	PIK3CD
RRAS2	PIK3CG
RRAS2	PIK3R1
RRAS2	PIK3R2
RRAS2	PIK3R3
MAPK1	ESR2
MAPK8	FOXO1
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
PRKACA	PDX1
PDX1	HNF4A
CEBPB	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
MAPK1	SMAD2
NFKB2	RELB
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT4
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	HRAS
HRAS	JUN
NOS1	MAPK1
SMAD2	SP1
HRAS	FOS
GATM	NOS3
NOS3	CREB1
MAPK1	SMAD3
