ADRA2B	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	RAF1
RAF1	NFKB1
HRAS	JUN
MAPK1	MYC
MAPK1	ELK1
ELK1	EGR1
RAF1	RELA
NFKB1	NFKB2
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	CREB1
HRAS	PIK3R5
PIK3R5	HIF1A
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
MAPK1	TP53
HRAS	MAP3K1
MAP3K1	CHUK
CHUK	RELB
HRAS	FOS
MAPK1	STAT1
STAT1	MYD88
RUNX1	JUP
RUNX1T1	JUP
CREB3L4	FOS
CREB3L2	FOS
TFDP2	CCNE2
FOSB	RELA
NFKB1	CCL5
MAPK12	IL8
ELK1	CCND1
MAPK8	SMAD4
CREB3L2	PCNA
CREBBP	PDK1
CREBBP	SLC2A1
EP300	PDK1
EP300	SLC2A1
HIF1A	PDK1
SOS1	SPRED3
STAT5A	SOCS4
STAT5A	CCND3
STAT5A	SOCS5
STAT5B	SOCS5
STAT6	SOCS1
STAT6	CCND2
CREB1	MITF
EP300	MITF
TCF7L2	MITF
NFKB1	CXCL2
NFKB1	NFKBIA
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
RBPJ	HES1
TP53	CD82
TP53	GTSE1
TP53	BAI1
RXRA	PLTP
RXRB	ACSBG1
RXRG	FABP4
IRF7	IFNA10
MAPK8	IL18
MYBL2	CDKN1C
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
JUN	ABCB1
NFKB1	ABCB1
TP53	ABCB1
USF2	APOC3
ESR1	APOE
PPARG	APOE
USF1	APOE
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
E2F1	HIST1H2AM
CREB1	ICAM1
CREM	ICAM1
STAT3	IRF1
SPI1	ITGB2
SPI1	NFKB1
TFAP2A	PENK
ATF1	PPP2R4
ATF2	PTGS2
USF2	PTPN6
PPARG	SERPINE1
SP1	SOD1
CREB1	TG
USF1	THBS1
FLI1	TNNC1
E2F4	TOP1
TFAP2A	VHL
