AR	PRKACA
PRKACA	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	NFKB1
NFKB1	TP53
MAPK1	MYC
PRKACA	CREBBP
CREBBP	SP1
MAPK1	JUN
NFKB1	MYB
MAPK1	STAT3
MAPK1	STAT1
PRKACA	RELA
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
NFKB1	PPP2CA
PPP2CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	ESR1
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
PRKACA	CREB1
CREBBP	RBPJL
CREBBP	RBPJ
MAPK1	SMAD3
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
PRKACA	ATF4
PRKACA	MAPK14
MAPK14	MAX
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	ATF2
PRKACA	ATF6B
PRKACA	CREB5
MAPK1	FOS
JUP	MYC
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
CLOCK	BHLHE41
CLOCK	PER2
CLOCK	NR1D1
FOSB	NFKB1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
PAX6	GCK
PAX6	PDX1
HNF1A	FOXA3
LEF1	MITF
TCF7	MITF
MAPK3	CDK4
RELB	CCL19
PIK3CD	AKT3
PIK3R1	AKT1
PIK3R1	PDPK1
PIK3R2	AKT3
RXRA	ACADL
RXRA	APOA1
RXRA	ACADM
NFKB1	CEBPB
NFKB1	IL23A
NFYA	HLA-DOB
MAPK1	IL1B
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL6
MAPK10	IL12A
MAPK10	IL12B
MAPK12	IL1A
CREB1	ADRB2
ELK1	CCT8
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP3	COL2A1
SP3	CTSL
ETS1	DNTT
TFAP2A	GPX4
FOS	GSTP1
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
POU2F1	HIST2H2BE
FOS	HLA-DRA
CEBPB	HP
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
JUN	PDHA1
PAX6	PDHX
ATF2	PENK
JUN	PENK
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
