TNF	MTOR
MTOR	PPARG
PPARG	RXRA
RXRA	RARB
MTOR	AKT3
AKT3	CREB1
MTOR	PRKCA
PRKCA	PRKACA
PRKACA	PPARA
PPARG	RXRB
PPARG	RXRG
MTOR	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
NFKB1	HIF1A
CREBBP	RXRA
NFKB1	NOS3
NOS3	CREB1
NFKB1	SOCS3
SOCS3	LEPR
LEPR	PPARA
CREBBP	RXRB
CREBBP	RXRG
FGFR2	PIK3R5
PIK3R5	THRA
THRA	RXRA
PIK3R5	AKT3
PIK3R5	PLCE1
PLCE1	PRKACA
THRA	RXRB
THRA	RXRG
PIK3R5	HIF1A
PTGS2	ADCY5
ADCY5	PRKACA
PPARA	RXRA
PRKACA	CREB1
PRKACA	CREBBP
PRKACA	EP300
PRKACA	NFKB1
CREBBP	ARNT
CREB3	NPY
ATF6B	PCNA
CREBBP	ENO2
EP300	ENO2
HIF1A	ENO2
EPAS1	PDGFB
ETS1	VEGFB
FOS	VEGFA
NFKB2	TRAF2
FOXO3	PCK1
CREB3L3	MCL1
PPARA	CYP7A1
PPARA	FADS2
PPARD	PDPK1
PPARG	CYP27A1
RXRA	CPT1B
RXRA	FABP3
RFX5	HLA-DQA1
RFX5	HLA-DQA2
TFAP2A	EGFR
TP53	EGFR
FLI1	FOS
STAT5B	IFNG
RARB	S100A8
POU2F2	SPP1
STAT3	TIMP1
TP53	TP53
