CREB3L3	FOSB
CREB3L1	CRH
CREB3L1	BDNF
TP53	GADD45G
STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ELK1	XIAP
CREB3L2	IL8
CREBBP	BCL2
EP300	BCL2
HIF1A	TIMP1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID2
YAP1	CCND1
YAP1	AXIN1
WWTR1	FGF1
WWTR1	ITGB2
SMAD1	ID4
SMAD4	ID2
TEAD1	SOX2
TEAD3	CTGF
FOXO1	PCK1
SOS1	SPRY3
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS4
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS1
STAT3	SOCS2
STAT3	CCND3
STAT5A	SOCS4
STAT5B	SOCS5
PAX6	GCK
HNF1A	FOXA3
CREB3	MITF
TCF7	MITF
MAPK3	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	AKT2
PIK3R1	PDPK1
PIK3R2	AKT1
BBC3	TP53AIP1
TP53	STEAP3
TP53	RRM2
EPAS1	TGFA
FOS	FIGF
MAX	CKS2
NFKB2	TRAF4
CREB1	BCL2
ATF4	MCL1
PPARA	ACSL1
PPARA	ACOX1
PPARD	FABP3
PPARG	ACSBG1
PPARG	UCP1
RXRA	CYP8B1
RXRA	ACADL
RXRA	APOA1
RXRA	ACADM
MAPK14	IL1A
MAPK14	IL12B
MAPK14	TNF
MYD88	IFNA5
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFKB1	CEBPB
NFKB1	IL23A
NFYA	HLA-DOB
NFYA	HLA-DQA1
NFYC	HLA-DQA2
MAPK1	IL18
MAPK1	NOS2
MAPK1	IL23A
MAPK3	IL18
MAPK9	NOS2
MAPK9	IL23A
MAPK10	IL12A
MAPK10	IL12B
MAPK10	IL18
RFXAP	LOC100509457
RFXAP	HLA-DMA
MAPK12	IL1A
MAPK12	IL1B
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
SP1	CDKN1C
SP1	COL4A2
SP3	ABCA1
USF2	ABCA1
CEBPB	ABCB1
SP1	CDKN1A
TFAP2A	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
USF2	CEACAM1
USF2	CEACAM6
ATF1	CGA
ATF4	CGA
CREB1	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
USF1	CTSB
SP3	CTSL
ETS1	DNTT
JUND	F3
PPARG	GADD45A
RARA	GADD45A
POU2F1	HIST2H2BE
FOS	HLA-DRA
CREB1	HMOX1
ERG	HMOX1
RELA	IL2
REL	IL2RA
STAT3	IL2RA
BCL3	NFKB2
MYC	NME1
JUN	NPPA
HIF1A	NR4A1
CREB1	NRAS
EGR1	PLAU
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
USF1	PTPN6
EGR1	SOD1
EGR1	THBS1
TFAP2A	TNPO1
