HNMT	MAOA
MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
PRKCA	HRAS
HRAS	JUN
MAPK1	STAT3
PRKCA	CREB1
MAPK1	ETS1
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
HIF1A	ARNT
CREB3	ATF1
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	STAT1
MAPK1	TP53
SMAD2	YAP1
MAOA	CYP3A4
CYP3A4	CBR1
CBR1	CHRNA7
CHRNA7	JAK2
JAK2	STAT4
JAK2	STAT5A
JAK2	STAT5B
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	ELK1
NFKB1	MYB
JAK2	STAT2
JAK2	STAT6
PRKCA	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
ELK1	EGR1
MAPK1	MYC
PRKCA	FOS
PRKCA	ATF4
MAPK1	ESR1
PRKCA	CREB3L2
PRKCA	CREB3L1
SMAD2	E2F4
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	SMAD3
LEF1	PPARD
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	ATF2
HRAS	MAPK14
MAPK14	CEBPB
HRAS	MAPK8
MAPK8	JUND
PRKCA	ATF6B
PRKCA	CREB5
MTOR	PPARG
PRKACA	PPARA
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
RARA	CCNA1
STAT3	PIM1
STAT5A	PIM1
STAT5B	PIM1
IFNG	IDO1
CREB3	CRH
CREB1	CRH
ATF2	CRH
ATF6B	CRH
CREB3L4	NPY
ATF4	NPY
CREB3L2	CRH
CREB3L3	NPY
CREB5	BDNF
NFKB1	BIRC7
GLI1	WNT6
GLI2	HHIP
GLI3	PTCH1
LEF1	BIRC5
LEF1	CCND1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ELK1	BIRC2
ELK1	XIAP
ELK1	CCND1
CREB1	IL8
NFKB1	TNF
MAPK8	JUN
MAPK8	SMAD4
RELA	MMP9
CREB3L2	IL8
CREB3L2	PCNA
CREB5	PCNA
CREBBP	SERPINE1
CREBBP	ANGPT4
CREBBP	PDK1
CREBBP	PGF
CREBBP	BCL2
CREBBP	SLC2A1
CREBBP	HKDC1
EP300	SERPINE1
EP300	ANGPT4
EP300	PDK1
EP300	PGF
EP300	BCL2
EP300	SLC2A1
EP300	HKDC1
HIF1A	SERPINE1
HIF1A	ANGPT4
HIF1A	PDK1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	PGK1
HIF1A	VEGFC
ARNT	ALDOA
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
ARNT	PFKL
ARNT	TFRC
NFKB1	HIF1A
YAP1	BBC3
YAP1	BIRC2
YAP1	SERPINE1
YAP1	SNAI2
WWTR1	AFP
WWTR1	BBC3
SMAD1	ID3
SMAD4	ID1
TCF7	NKD1
TCF7L2	CCND2
TEAD1	BIRC2
TEAD1	SNAI2
TEAD1	CCND3
TEAD4	BIRC5
TEAD4	CCND3
TEAD3	MYC
TEAD3	AXIN1
TCF7L1	AXIN1
TEAD2	MYC
TEAD2	NKD1
SMAD3	SLC2A1
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS4
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS1
EP300	MITF
MITF	DCT
TCF7L2	MITF
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
EPAS1	TGFA
FOS	MMP1
FOS	VEGFB
HIF1A	PDGFB
HIF1A	TGFA
JUN	FIGF
MAX	CKS2
NFKB1	TRAF4
NFKB2	BIRC7
NFKB2	TRAF4
IRF1	IL12A
ATF4	BCL2
RELA	MYB
CREB3L1	MCL1
PPARA	FABP1
PPARA	ACSL1
PPARA	ACADM
PPARD	ACADL
PPARD	LPL
PPARD	UCP1
PPARG	ACSL4
PPARG	ACSBG1
PPARG	PCK2
RXRA	CYP27A1
RXRA	EHHADH
RXRA	ACSL3
NFYA	HLA-DQA1
NFYB	HLA-DRB1
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	HLA-DRB5
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DQA2
MAPK1	NOS2
MAPK9	IL1B
MAPK9	IL6
MAPK9	IL18
RFX5	HLA-DPA1
RFX5	HLA-DPB1
RFX5	HLA-DRB4
RFX5	HLA-DRB5
RFX5	CD74
RFXAP	LOC100507709
RFXAP	LOC100507714
RFXAP	HLA-DOA
RFXANK	HLA-DMA
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
CREB3L2	AQP2
CREB3L3	AQP2
NFATC1	PTGS2
TCF7L1	MMP7
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
MYBL2	CDKN1C
SP1	COL4A2
CEBPA	ABCB1
CEBPB	ABCB1
USF2	CALCA
E2F4	CAV1
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
SP1	CD14
SP3	CD14
SP1	CDKN1A
SP3	CDKN1A
USF2	CEACAM6
ATF1	CGA
