AR	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	JUN
PRKACA	NFKB1
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
PRKACA	CREB1
PRKACA	RELA
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
PRKACA	CREM
MAPK1	ETS1
ETS1	SPI1
PRKACA	EP300
NR3C2	ATP1A2
NFKB1	BIRC2
NFKB1	XIAP
NFKB1	BCL2
GLI1	BMP4
GLI1	WNT2
GLI1	WNT3
GLI1	WNT3A
GLI2	WNT16
GLI2	WNT4
TCF7L1	MYC
ESR1	SLC8A1
ESR1	CALB1
IRF3	IFNB1
CREBBP	ANGPT1
RXRB	ME1
MYD88	IFNA10
MAPK11	IL12B
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXAP	HLA-DRA
MYB	TSC22D3
MYBL1	TSC22D3
ETS1	ABCB1
HIF1A	ABCB1
JUN	ABCB1
NFKB1	ABCB1
SP1	ABCB1
TP53	ABCB1
WT1	ABCB1
SP1	AKR1B1
POU2F1	AKR1C2
CEBPA	ALB
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
SP1	CCND1
CEBPB	IL5
ETS2	JUN
NFIC	JUN
RARB	JUN
ATF1	LDHA
SP1	LDHA
CREM	LDHC
SP2	MAT2A
SP3	MAT2B
NFIC	MBP
E2F4	POLA
NFIC	POLA
TFAP2A	POLA
RELA	SAA2
ESR1	TFF1
