SLC12A2	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
NFKB1	TP53
PRKACA	MAPK1
MAPK1	JUN
MAPK1	STAT3
MAPK1	SMAD3
MAPK1	ESR1
MAPK1	ETS1
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
MAPK1	SMAD4
PRKACA	PSEN1
PSEN1	ATF6
MAPK1	SMAD2
PRKACA	ATF2
PRKACA	XBP1
XBP1	CEBPA
PRKACA	CREB1
MAPK1	MYC
CREBBP	STAT5A
CREBBP	STAT5B
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
NFKB1	PPP2CA
PPP2CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
STAT3	PIM2
STAT5A	PIM2
STAT5B	PIM2
ATF6B	ARC
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
MAPK14	CXCL1
RBPJ	FCER2
CTNNB1	CCND2
CTNNB1	CCND3
JUN	CCND2
ATF6B	IL8
MAPK10	SMAD4
RELA	IL6
CREB3L3	IL8
CREBBP	ENO1
CREBBP	PFKFB4
CREBBP	PFKL
CREBBP	TFRC
EP300	ENO1
EP300	PFKFB4
EP300	PFKL
EP300	TFRC
HIF1A	ENO1
HIF1A	TFRC
ARNT	EDN1
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
YAP1	ID1
YAP1	ID3
YAP1	AREGB
YAP1	AXIN2
WWTR1	BIRC5
WWTR1	AREG
SMAD2	SERPINE1
TEAD4	AXIN1
TP73	BBC3
TEAD2	CTGF
PAX6	INS
VDR	SLC34A2
MAX	CKS2
RXRB	OLR1
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RFXAP	HLA-DMA
RFXANK	HLA-DMA
SP3	ABCA1
USF1	CCNB1
USF2	CCNB1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
TFAP2A	GH2
USF1	GH2
USF2	GH2
JUN	GJA1
SP1	GJA1
NFIC	GOT1
TFAP2A	HMOX1
E2F4	HSP90B1
TFAP2A	HSPA1A
ESR1	HSPB1
TP53	IL8
TP53	MMP2
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
TFAP2A	POLD2
PPARG	PTGS2
USF2	PTGS2
MYC	PTMA
MYBL2	RBL1
RARA	S100A8
POU2F1	SFTPA1
NFIC	SFTPC
MYBL2	SP1
POU2F1	SPP1
CREM	TH
HOXA4	TH
CREB1	TIMP1
STAT1	TIMP1
SMAD3	TNNC1
SMAD4	TNNC1
MYC	TP53
STAT1	TP53
