CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	TP53
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
HIF1A	ARNT
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	ELK4
MAPK1	ETS1
ETS1	SRF
MAPK1	SMAD2
SMAD2	SP1
MAPK1	FOXO3
PRKCA	CREB1
MAPK1	STAT1
NR3C2	ATP1A3
RBPJ	FCER2
CTNNB1	CCND3
RELA	IL6
CREBBP	PFKL
EP300	PFKL
SOS1	CCND3
SOS2	SPRY3
MITF	TYRP1
BBC3	TP53AIP1
TP53	RRM2
NFKB1	FIGF
RXRG	FABP4
IRF7	IFNA10
RFXAP	HLA-DRA
TCF7	MMP7
SP3	ABCA1
SP1	CCND1
ETS1	IL5
PPARG	PTGS2
MYC	PTMA
NFIC	SFTPC
HOXA4	TH
SMAD4	TNNC1
