ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
PLCD3	PRKCA
PRKCA	MAPK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	SMAD7
MAPK1	ELK1
ELK1	EGR1
PIK3R5	AKT3
AKT3	NFKB1
PRKCA	CREB1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
KCNMA1	CACNA1C
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREBBP
CACNA1C	INS
INS	MAPK1
MAPK1	NFKB1
CAMK2A	CREB1
INS	NR1H3
NR1H3	RXRA
CREBBP	RXRB
CREBBP	RXRG
NR3C2	ATP1A4
CREBBP	MITF
MITF	TYRP1
CREB3L3	MITF
MAPK3	CDK4
IRF1	IL12B
CREB1	BCL2
PPARA	APOC3
PPARA	ACOX1
PPARG	ANGPTL4
PPARG	UCP1
NFYC	HLA-DQB1
MAPK11	IL12B
MAPK11	IL18
MAPK11	NOS2
SPI1	REL
TP53	MKI67
TP53	APAF1
TP53	EPCAM
SP3	ABCA1
CEBPB	ABCB1
USF2	GH2
ETS2	IL5
