PPARG	RXRA
RXRA	THRB
THRB	CCND1
CCND1	RB1
RB1	E2F1
CCND1	RBL1
RBL1	E2F4
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
THRB	HIF1A
HIF1A	ARNT
THRB	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
AKT3	RELA
RB1	E2F2
RB1	E2F3
CTNNB1	LEF1
LEF1	JUN
PIK3R5	HRAS
HRAS	FOS
CREBBP	STAT3
CREBBP	SP1
THRB	GATA4
GATA4	SRF
SRF	ETS1
CREBBP	STAT1
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	CCND1
MAPK1	SMAD2
SMAD2	E2F4
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	HIF1A
CREBBP	ARNT
MAPK1	NFKB1
MAPK1	RELA
NOS1	HRAS
HRAS	JUN
PRKCA	FOS
MAPK1	STAT3
SMAD2	SP1
MAPK1	ETS1
MAPK1	STAT1
SERPINE1	PLAT
PLAT	PLG
PLG	PARD3
PARD3	PRKCZ
PRKCZ	AKT3
AKT3	CDKN1A
CDKN1A	CCNA1
CCNA1	E2F1
PRKCZ	MAPK1
PLG	F2R
F2R	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
PARD3	TIAM1
TIAM1	RAC1
RAC1	NFKB1
RAC1	RELA
CCNA1	E2F2
CCNA1	E2F3
AKT3	JUN
MAPK1	FOS
ELK1	BIRC2
MAPK8	JUN
MAPK9	JUN
RELA	MMP9
CREBBP	ANGPT4
CREBBP	PFKFB1
CREBBP	PGF
EP300	ANGPT4
EP300	PFKFB1
EP300	PGF
HIF1A	ANGPT4
HIF1A	PFKFB1
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELB	ICAM1
PIK3CA	AKT3
PIK3CG	PDPK1
RBPJ	HES1
TP53	BAI1
RXRG	EHHADH
IRF7	IFNA8
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
CREB1	ERBB2
ELK1	ERBB2
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
ESR1	PTMA
PPARD	SERPINE1
SP1	SERPINE1
ETS1	SLC26A3
ATF1	TG
PAX8	TG
HOXA5	TH
ETS1	TNNC1
JUN	TNNC1
SP3	TNNC1
PAX1	VHL
ERG	VIM
