HRH2	GNAS
GNAS	SRC
SRC	HRAS
HRAS	JUN
SRC	STAT3
STAT3	ESR1
ESR1	SP1
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
SRC	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
GNAS	GNB5
GNB5	MAPK1
MAPK1	SMAD3
MAPK1	SMAD4
MAPK1	ETS1
GNB5	MAPK8
MAPK8	JUND
MAPK1	TP53
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
PIK3R5	MTOR
MTOR	PPARG
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
CTNNB1	CCND2
MAPK10	SMAD4
CREBBP	PFKFB4
EP300	PFKFB4
MAPK1	IL1B
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12A
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
USF2	CTSB
SP1	CTSL
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
USF2	PTGS2
POU2F1	SFTPA1
CREM	TH
SMAD3	TNNC1
