TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	MAPK1
MAPK1	MYC
PRKACA	NFKB1
PRKACA	RELA
PRKACA	PPARA
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
NFKB1	HIF1A
PRKACA	CREB1
PRKACA	EP300
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
NFKB1	TRAF6
TRAF6	IRF7
TRAF6	MYD88
CREBBP	SP1
CREBBP	ARNT
MAPK8	FOS
MAPK1	STAT3
MAPK1	STAT1
RAPGEF3	MAPK14
MAPK14	CEBPB
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
MAPK1	ETS1
MAPK1	ETS2
PRKACA	CREM
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
MYD88	VDR
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
CREBBP	EPAS1
MAPK8	ELK1
ELK1	EGR1
MAPK1	ESR1
STAT3	IRF1
PRKACA	ATF1
ELK1	SPI1
NFKB1	NFKB2
PRKACA	MAPK3
RAPGEF3	MAPK11
RAPGEF3	MAPK13
RAPGEF3	MAPK9
RAPGEF3	MAPK10
TRAF6	IRF5
MAPK8	FOXO3
RXRA	RARB
PRKACA	PDX1
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
CREB3L2	BDNF
CREB3L3	BDNF
ATF6B	PDYN
ATF4	PDYN
CREB3L1	PDYN
CREB5	ARC
NFKB1	BIRC2
NFKB1	BIRC3
NFKB1	BCL2L1
RELA	BIRC8
GLI1	WNT16
GLI1	WNT4
GLI1	BMP4
GLI1	WNT1
GLI1	WNT5A
GLI1	WNT7A
GLI1	WNT9A
GLI1	WNT9B
GLI1	WNT3A
GLI2	GLI1
GLI2	PTCH1
GLI2	BMP2
GLI2	WNT6
ARNTL	PER3
NPAS2	CRY1
JUN	CCND1
TCF7L1	MYC
ESR1	SLC8A1
ESR1	CALB1
CREB3	IL8
CREB1	IL8
EGR2	FASLG
IRF7	IFNB1
NFKB1	MMP9
MAPK8	SMAD4
CREB3L1	IL8
CREB5	PCNA
CREBBP	ALDOA
CREBBP	ANGPT2
CREBBP	NPPA
CREBBP	PDK1
CREBBP	VEGFA
CREBBP	HKDC1
EP300	ALDOA
EP300	ANGPT2
EP300	NPPA
EP300	PDK1
EP300	VEGFA
EP300	HKDC1
HIF1A	ALDOA
HIF1A	ANGPT2
HIF1A	NPPA
HIF1A	PDK1
TEAD1	CTGF
TEAD4	SOX2
SOS1	CCND1
SOS1	BCL2L1
SOS2	SPRY4
STAT1	CCND1
STAT1	SOCS2
STAT4	SOCS4
STAT4	PIM1
STAT4	SOCS5
STAT5B	SOCS3
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELA	NFKB2
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
TP53	DDB2
TP53	SESN1
TP53	RFWD2
TP53	ZMAT3
TP53	SIAH1
TP53	THBS1
NFKB1	PGF
NFKB1	VEGFA
STAT3	VEGFC
EPAS1	FIGF
EPAS1	VEGFA
EPAS1	VEGFB
FOS	MMP2
FOS	PGF
FOS	VEGFA
JUN	MMP2
JUN	MMP9
MYC	FIGF
MYC	MMP1
NFKB2	BIRC8
NFKB2	BCL2
NFKB2	BCL2L1
RELA	TRAF5
RELA	TRAF4
PIAS2	CDKN2B
CREB3L2	MCL1
CREB3L2	BCL2
CREB3L3	MCL1
PPARA	APOA5
PPARA	CPT2
PPARA	ACSL6
PPARA	ACAA1
PPARA	HMGCS2
PPARD	ACOX1
PPARD	ANGPTL4
PPARD	PDPK1
PPARG	CPT1C
PPARG	CPT1A
PPARG	AQP7
PPARG	LPL
PPARG	MMP1
RXRA	FABP4
RXRA	FABP1
RXRA	FABP3
RXRA	SCD
RXRA	SCP2
RXRB	APOA5
RXRB	CPT1C
RXRB	CPT2
RXRB	CYP4A11
RXRB	CYP7A1
RXRB	CYP8B1
RXRB	EHHADH
RXRB	FABP4
RXRB	FABP1
RXRB	FABP3
RXRB	ACSL3
RXRB	ACSL6
RXRB	GK
RXRB	HMGCS2
RXRB	ACADL
RXRB	APOA1
RXRB	APOA2
RXRB	SLC27A1
RXRB	ACSBG2
RXRB	ACOX2
RXRG	NR1H3
RXRG	SORBS1
RXRG	SLC27A4
RXRG	APOA5
RXRG	CPT1B
RXRG	CPT2
RXRG	CYP4A11
RXRG	CYP7A1
RXRG	CYP27A1
