HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	JUN
HRAS	MAPK1
MAPK1	ETS1
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	CREB1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	FOS
MAPK1	MYC
MAPK1	SMAD2
SMAD2	SP1
MAPK1	TP53
MAPK1	CREB3
CREB3	ATF1
CREBBP	EPAS1
SMAD2	E2F4
MAPK1	STAT3
MAPK1	STAT1
NFKB1	NFKB2
PIK3R5	MTOR
MTOR	PPARG
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	ELK1
ELK1	EGR1
ETS1	SPI1
SMAD2	YAP1
SMAD2	WWTR1
ITGB2	PIK3R5
PIK3R5	AKT3
AKT3	JUN
ITGB2	PTK2
PTK2	MAPK1
AKT3	CREB1
AKT3	NFKB1
AKT3	RELA
PIK3R5	HRAS
PIK3R5	GSK3B
GSK3B	MYC
CREBBP	SP1
AKT3	CREB3
ITGB2	SRC
SRC	STAT3
STAT3	STAT1
AKT3	CHUK
CHUK	NFKB2
PIK3R5	PLCE1
AKT3	PPP1CA
PPP1CA	YAP1
PPP1CA	WWTR1
ATF6B	FOS
ATF4	FOS
TCF7L2	MYC
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
ATF2	PCNA
EGR3	FASLG
SMAD3	MYC
NFKB1	TNF
MAPK8	SMAD4
MAPK9	JUN
CREBBP	EDN1
CREBBP	FIGF
CREBBP	HK1
CREBBP	SERPINE1
CREBBP	PDK1
CREBBP	PFKFB1
EP300	EDN1
EP300	FIGF
EP300	HK1
EP300	SERPINE1
EP300	PDK1
EP300	PFKFB1
HIF1A	EDN1
HIF1A	FIGF
HIF1A	HK1
HIF1A	SERPINE1
HIF1A	PDK1
HIF1A	PFKFB1
ARNT	EGF
ARNT	LDHA
STAT4	CCND1
STAT5A	SOCS5
STAT5B	MYC
HNF1A	HNF4G
NFKB1	CXCL2
NFKB1	IL1B
NFKB1	NFKBIA
NFKB1	PLAU
NFKB1	TNFAIP3
NFKB1	TRAF1
NFKB1	CCL4L1
NFKB2	TNFSF13B
RELA	NFKB2
RELA	NFKBIA
RELA	PTGS2
RELA	TRAF2
RELB	TNFSF13B
RELB	ICAM1
RELB	CCL19
PIK3R5	PDPK1
PIK3CA	AKT3
PIK3CD	AKT3
PIK3CG	AKT3
PIK3CG	AKT2
PIK3CG	PDPK1
PIK3R1	PDPK1
PIK3R3	AKT3
PIK3R3	AKT2
PIK3R3	PDPK1
TP53	SESN3
EPAS1	TGFB2
JUN	VEGFC
MYC	CKS1B
NFKB2	TRAF1
RELA	CCND1
PPARA	CYP4A11
PPARA	ACSL4
PPARG	CPT1B
PPARG	GK
NFKB1	IL23A
MAPK8	IL6
MAPK8	IL12A
MAPK8	IL12B
MAPK11	TNF
MAPK10	IL12B
SP2	CD14
SP1	CD99
MYC	CDC25A
E2F4	CDC45
EGR1	COL2A1
SP3	COL2A1
USF1	CTSB
TFAP2A	ERBB2
TP53	ERBB2
PPARG	ESR1
STAT5A	ESR1
STAT5B	ESR1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
ATF2	INS
SP1	ITGA2
ATF1	PLAUR
CREB1	POLD2
ETS1	PPP2R4
ATF4	PTGS2
RELA	S100A6
RARG	S100A9
SPI1	SCARB2
PPARA	SERPINE1
PPARG	SERPINE1
SP1	SERPINE1
JUN	SPP1
TFAP2A	TAF7
EGR1	TFPI2
JUN	TFRC
CREB1	TG
PAX8	TG
SMAD4	TIMP1
ATF1	TNF
EGR4	TNF
ERG	TNNC1
FLI1	TNNC1
JUN	TNNC1
PAX5	TP53
CREB1	TRH
JUN	TXN
HIF1A	VHL
TFAP2A	VHL
ERG	VIM
