HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	JUN
MAPK1	MYC
MAPK1	CREB1
MAPK1	TP53
HRAS	RAF1
RAF1	RELA
RAF1	NFKB1
HRAS	MAPK8
MAPK8	JUND
MAPK1	ATF2
HRAS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
SMAD2	E2F4
FDPS	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK1	ESR1
MAPK1	STAT1
MAPK1	STAT3
MAPK1	ATF4
MAPK1	CREB3
MAPK1	ATF6B
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
CREB3	ATF1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
HRAS	FOS
PRKACA	CREM
PIK3R5	HIF1A
SMAD2	YAP1
NFKB1	MYB
MAPK1	ELK1
ELK1	EGR1
PRKACA	PPARA
MAPK1	ETS1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
PIK3R5	EGFR
EGFR	STAT5A
EGFR	STAT5B
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
ITGB2	PIK3R5
CREBBP	SP1
PIK3R5	AKT3
AKT3	JUN
PIK3R5	GSK3B
GSK3B	MYC
AKT3	CREB1
ITGB2	PTK2
PTK2	MAPK1
AKT3	RELA
AKT3	NFKB1
PTK2	MAPK14
MAPK14	JUND
AKT3	ATF2
PIK3R5	PLCE1
EGFR	SOS1
EGFR	SOS2
ITGB2	SRC
SRC	STAT3
STAT3	ESR1
STAT3	STAT1
AKT3	ATF4
AKT3	CREB3
AKT3	ATF6B
AKT3	CREB3L2
AKT3	CREB3L1
AKT3	CREB5
AKT3	IKBKG
SRC	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PIK3R5	HRAS
AKT3	PPP1CA
PPP1CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
TNF	SELE
CREB3	NPY
CREB1	NPY
ATF2	NPY
ATF6B	NPY
ATF4	CRH
MAPK1	PDYN
CREB3L2	NPY
CREB3L3	NPY
CREB3L1	CRH
CREB3L1	FOSB
CREB5	BDNF
GLI3	PTCH1
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
ARNTL	BHLHE40
NFKB1	CCL5
MAPK12	IL8
NFKB1	TNF
MAPK9	JUN
CREBBP	SERPINE1
CREBBP	PFKFB1
EP300	SERPINE1
EP300	PFKFB1
HIF1A	SERPINE1
HIF1A	PFKFB1
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
LEF1	CCND3
TCF7	SNAI2
TCF7L2	BIRC2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
FOXO1	PCK1
PAX6	PDX1
MAPK3	CCND1
VDR	SLC34A2
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELB	ICAM1
PIK3CA	AKT3
PIK3CG	PDPK1
PIK3R2	AKT1
PIK3R3	PDPK1
EPAS1	TGFB1
MYC	CDK4
NFKB1	TRAF3
NFKB2	BIRC2
RELA	NOS2
FOXO3	PCK2
CREB3L3	BCL2
PPARA	ACSL3
PPARD	CPT1C
PPARD	UBC
PPARG	ACSL6
RXRA	CPT2
RXRA	ACSL1
RXRA	PLTP
RXRB	ACSBG1
MYD88	IFNA21
NFYC	HLA-DQA2
MAPK1	IL12B
MAPK9	IL1B
MAPK9	IL6
RFX5	HLA-DOA
RFX5	HLA-DOB
RFXAP	CD74
MAPK12	IL1B
RFXANK	HLA-DMA
RFXANK	HLA-DRB5
RFXANK	CD74
PDX1	INS
CREB3	AQP2
CREB1	AQP2
CREB3L4	AQP2
TCF7L1	PPARD
