HNMT	MAOA
MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	TP53
PRKCA	RAF1
RAF1	NFKB1
PRKCA	HRAS
HRAS	JUN
MAPK1	MYC
PRKCA	CREB1
RAF1	RELA
PRKCA	ATF4
MAPK1	SMAD2
SMAD2	SP1
SMAD2	E2F4
MAPK1	ETS1
MAPK1	ELK1
ELK1	EGR1
PRKCA	ATF2
PRKCA	CREB3
PRKCA	ATF6B
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	CREB5
MYC	ZBTB17
MYC	PIAS2
SMAD2	SMAD7
HRAS	MAPK14
MAPK14	MAX
CREB3	CREBBP
CREB3	EP300
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
MAPK1	ETS2
PRKCA	MTOR
MTOR	HIF1A
HIF1A	ARNT
MAPK1	SMAD4
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKACA	PPARA
MAPK1	STAT3
PRKCA	FOS
CREB3	ATF1
MAPK1	ESR1
SMAD2	YAP1
MAPK1	SMAD1
MAPK1	SMAD5
MAPK1	SMAD9
SMAD4	LEF1
LEF1	PPARD
CREB3L1	NPY
GLI2	WNT10A
GLI3	BMP4
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND3
ELK1	BIRC2
ELK1	XIAP
CREBBP	FASLG
RELA	IL6
RELA	MMP9
CREB3L2	IL8
CREBBP	EGF
CREBBP	PFKL
CREBBP	PGF
CREBBP	BCL2
EP300	EGF
EP300	PFKL
EP300	PGF
EP300	BCL2
HIF1A	EGF
HIF1A	VEGFA
ARNT	LTBR
ARNT	PFKFB3
FOXO1	PCK1
PAX6	GCK
PAX6	PDX1
TCF7L2	MITF
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	AKT1
PIK3R1	AKT2
PIK3R1	PDPK1
PIK3R2	AKT3
PIK3R2	AKT1
TP53	PERP
FOS	VEGFB
HIF1A	TGFB1
JUN	FIGF
CREB1	BCL2
ATF4	BCL2
CREB3L1	MCL1
PPARA	ACOX1
PPARD	ACADL
PPARD	UCP1
PPARG	UCP1
RXRA	CYP27A1
RXRA	ACSL3
RXRA	ACADL
RXRA	APOC3
RXRA	ILK
RXRA	ME1
RXRA	PCK1
RXRA	ACSL5
RXRG	EHHADH
IRF7	IFNA8
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFKB1	IL23A
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DMA
NFYC	HLA-DQA2
MAPK10	IL12B
MAPK10	IL18
RFXAP	HLA-DMA
RFXANK	HLA-DMB
RFXANK	HLA-DOA
SPI1	REL
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
USF1	SERPINE1
USF2	XRCC6
JUN	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
CREB1	ADRB2
GLI1	BCL2
ATF1	BCL2
USF2	CEACAM6
ATF1	CGA
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
EGR1	COL2A1
SP3	COL2A1
USF1	CTSB
NFIC	CYP17A1
SP1	DKC1
SP3	DKC1
ETS1	DNTT
MYC	EIF4E
CEBPB	F8
NFKB1	F8
AR	F9
NFKB1	FBP1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
STAT3	FOS
ETS1	FOSL1
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC2
E2F1	HIST1H2AM
CREB1	HMOX1
STAT1	IL2RA
FLI1	MMP3
PPARG	MMP9
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
PPARG	PTGS2
REL	PTGS2
USF1	PTGS2
MYC	PTMA
ESR1	PTMA
USF1	PTPN6
USF1	S100A6
NFIC	SFTPC
ETS1	SLC26A3
EGR1	SOD1
LEF1	SPP1
HOXA4	TH
HOXA5	TH
EGR1	THBS1
SP1	TIMP1
SMAD4	TNNC1
SP3	TNNC1
TFAP2A	TNPO1
PAX8	TP53
