PPARG	RXRA
RXRA	THRB
THRB	PIK3R5
PIK3R5	AKT3
AKT3	RELA
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	CREB3
CREBBP	CREB1
CREBBP	ATF2
CREBBP	ATF6B
CREBBP	ATF4
CREBBP	CREB3L2
CREBBP	CREB3L1
CREBBP	CREB5
RXRA	SREBF1
SREBF1	PKLR
PKLR	ADCY1
ADCY1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	RELA
GATM	NOS3
NOS3	CREB3
NOS3	CREB1
NOS3	ATF2
NOS3	ATF6B
NOS3	ATF4
NOS3	CREB3L2
NOS3	CREB3L1
NOS3	CREB5
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PRKACA
SERPINE1	PLAT
PLAT	PLG
PLG	PARD3
PARD3	TIAM1
TIAM1	RAC1
RAC1	RELA
PARD3	PRKCZ
PRKCZ	AKT3
AKT3	CREB3
AKT3	CREB1
AKT3	ATF2
AKT3	ATF6B
AKT3	ATF4
AKT3	CREB3L2
AKT3	CREB3L1
AKT3	CREB5
PARD3	JAM2
JAM2	ITGB1
ITGB1	PRKACA
IFNG	IDO1
TNF	SELE
CREB3	CRH
CREB3	NPY
CREB1	CRH
CREB1	NPY
ATF2	CRH
ATF2	NPY
ATF6B	CRH
ATF6B	NPY
CREB3L4	NPY
ATF4	CRH
ATF4	NPY
MAPK1	PDYN
CREB3L2	CRH
CREB3L2	NPY
NFYB	HLA-DOB
SPI1	B2M
STAT1	EGFR
CREB1	IFNG
REL	IFNG
STAT4	IFNG
STAT5B	IFNG
CEBPA	IGF2
EGR1	IGF2
FLI1	IGFBP3
SP3	IGFBP3
CEBPB	IL1A
SP1	IL1A
CREB1	IL1B
SP1	IL1B
CREB1	IL2
EGR1	IL2
ETS2	IL2
POU2F1	IL2
