DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
PRKACA	NFKB1
UMPS	CYP2A6
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	PPARG
CREBBP	SP1
PTK2B	RAC1
RAC1	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PTK2B	SRC
SRC	CTNNB1
RAC1	NFKB1
PIK3R5	MTOR
RAC1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
STAT4	SOCS1
HIF1A	TGFB1
NFKB2	BIRC2
CREB1	BCL2
CREB3L3	BCL2
PPARA	ACOX1
PPARD	UBC
PPARG	UCP1
RXRA	ACSL1
NFYC	HLA-DQA2
SP1	ADA
RARA	AKR1B1
