AR	PRKACA
PRKACA	MAPK1
MAPK1	FOS
MAPK1	JUN
PRKACA	MAPK8
MAPK8	JUND
MAPK1	MYC
PRKACA	CREB1
MAPK1	ESR1
PRKACA	NFKB1
NFKB1	TP53
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PRKACA	PPARA
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
PRKACA	RELA
CREBBP	SP1
NFKB1	NFKB2
PRKACA	PSEN1
PSEN1	ATF6
PRKACA	ATF2
MAPK1	ETS1
PRKACA	XBP1
XBP1	CEBPA
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	ATF4
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
NFKB1	CEBPB
TNF	ICAM1
CREB3	FOSB
CREB1	FOSB
ATF2	FOSB
ATF6B	FOSB
CREB3L4	BDNF
ATF4	BDNF
CREB3L2	FOSB
GLI3	HHIP
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	RORB
TCF7	MYC
TCF7L2	BIRC5
TCF7L2	CCND1
TCF7L1	CCND1
MAPK14	IL8
RBPJL	FGR
RBPJ	FGR
TP53	MDM2
STAT5A	SOCS1
STAT6	PIM1
RELA	PTGS2
RELA	CCL4
RELB	CCL19
RELB	CXCL12
PIK3CD	AKT3
PIK3R1	PDPK1
PIK3R2	PDPK1
TP53	SERPINE1
EPAS1	TGFA
ETS1	IL8
FOS	CDK4
FOS	VEGFA
MAX	CKS2
MYC	IL8
NFKB1	TRAF3
NFKB1	TRAF5
NFKB2	TRAF4
RELA	TRAF6
CREB3	MCL1
FOXO3	PCK2
FOXO3	RBL2
CREB3L3	MCL1
PPARA	ACSL1
PPARA	CYP4A22
PPARA	SLC27A1
PPARD	CPT1C
PPARD	CPT1B
PPARD	PDPK1
PPARG	ACSBG1
PPARG	SLC27A1
PPARG	ACSL5
RXRA	CPT2
RXRA	CYP7A1
RXRA	FABP3
NFYC	HLA-DMA
NFYC	HLA-DMB
NFYC	HLA-DOA
RFXAP	HLA-DMB
CREB3L2	AQP2
CREB3L3	AQP2
MYBL2	CDKN1C
ATF1	AQP3
CREB1	AQP3
CREB1	ARG1
ATF4	CGA
CREB1	CGA
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
RARG	CRABP2
NFKB1	CSF1
ETS1	CSF2
USF1	CTSB
STAT1	EGFR
MYC	EIF4E
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
PAX5	FCER2
CEBPA	FN1
TFAP2A	HMOX1
EGR1	IFNG
STAT5A	IFNG
CEBPB	IGF2
SP1	IGFBP3
CEBPD	IL1A
REL	IL1B
CREM	IL2
NFKB1	IL2
FLI1	MMP9
CEBPA	PCK2
E2F4	PCNA
SP3	PDGFB
POU2F1	PLAU
SP1	PLAU
TP53	PLK1
E2F1	POLA
E2F4	POLE2
CEBPD	PTGS2
RARB	PTGS2
TFAP2A	PTGS2
