AR	PRKACA
PRKACA	MAPK1
MAPK1	JUN
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
MAPK1	ELK1
ELK1	EGR1
PRKACA	RELA
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	GLI2
PRKACA	GLI3
MAPK1	ETS1
MAPK1	MYC
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
MAPK1	FOS
PRKACA	CREB1
MYC	ZBTB17
MYC	PIAS2
MAPK1	STAT3
MAPK1	STAT1
PRKACA	GLI1
NFKB1	TRAF6
TRAF6	MYD88
CREBBP	EPAS1
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
NFKB1	NFKB2
MAPK1	SMAD4
CREB5	CRH
CREB5	NPY
CREB3L4	PDYN
CREB3L2	PDYN
RELA	BIRC8
RELA	BIRC2
GLI1	WNT7A
GLI1	WNT7B
GLI2	BMP2
GLI2	WNT11
GLI2	WNT10A
GLI3	BMP4
TCF7	BIRC5
ELK1	CCND3
JUN	CCND3
CREB1	IL8
ATF2	PCNA
EGR2	FASLG
TP53	CDKN1B
CREB3L3	PCNA
CREB5	PCNA
CREBBP	EDN1
CREBBP	ALDOA
CREBBP	TF
CREBBP	TIMP1
CREBBP	HKDC1
EP300	EDN1
EP300	ALDOA
EP300	TF
EP300	TIMP1
EP300	HKDC1
HIF1A	EDN1
HIF1A	ALDOA
TEAD1	SOX2
TEAD3	CTGF
SOS1	SPRED2
SOS2	SPRY1
SOS2	SPRED2
SOS2	SPRED3
STAT4	SOCS1
STAT5B	CCND1
VDR	TRPV6
NFKB1	GADD45B
NFKB1	BCL2A1
NFKB1	VCAM1
NFKB2	CCL13
RELA	BCL2A1
RELB	CCL21
PIK3CD	AKT1
PIK3R2	AKT2
TP53	PMAIP1
TP53	PERP
EPAS1	VEGFB
ETS1	CDK4
ETS1	FIGF
NFKB2	TRAF5
PIAS2	CDKN2B
IRF8	IL12B
IRF1	IL12B
PPARA	DBI
PPARA	HMGCS2
PPARA	APOA2
PPARA	APOC3
PPARG	ACSL1
PPARG	MMP1
PPARG	PCK1
PPARG	ANGPTL4
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
RXRA	PLIN1
RXRB	ACSL4
RXRG	CPT1C
MYD88	IFNA10
NFYC	HLA-DQB1
MAPK8	IL18
MAPK9	TNF
MAPK10	IL6
RFX5	HLA-DRB4
RFX5	HLA-DRB5
RFXAP	HLA-DRA
NFAT5	PTGS2
MYB	TSC22D3
MYBL1	TSC22D3
EGR1	AKR1B1
RARA	AKR1B1
USF1	B2M
SP1	CAV1
SP2	CCND1
PPARG	CDKN1A
ATF2	CGA
REL	F3
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
STAT4	IL2RA
STAT5B	IL2RA
STAT4	IRF1
CEBPA	IVL
SP1	JUN
NFKB1	KLK3
PPARA	LIPA
PPARD	LIPA
RARA	MIF
ERG	MMP3
FLI1	MMP3
PPARG	MMP9
ETS2	PLAU
E2F4	RBL1
EGR1	RELA
CREB1	REN
RELA	S100A6
RARB	S100A9
ESR1	SP1
SMAD2	SP1
ETS1	SPP1
JUN	SPP1
SP1	TAF7
WT1	THBS1
ETS1	TIMP1
JUNB	TIMP1
SMAD4	TIMP1
CEBPA	TK1
USF2	TOP3A
EGR1	TP53
NFIC	TP53
PAX5	TP53
SP1	TPI1
