DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
MAPK8	TP53
PRKACA	CREB1
UMPS	CYP2A6
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	PPARG
PRKACA	ATF2
PRKACA	EP300
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	PIK3R5
PIK3R5	HIF1A
CREBBP	ARNT
MAPK8	SMAD3
PRKACA	MAPK1
MAPK1	ETS1
MAPK1	SMAD2
MAPK8	SMAD4
JAK2	STAT3
STAT3	ESR1
PRKACA	PPARA
PRKACA	ATF4
PRKACA	XBP1
XBP1	CEBPA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	NFKB1
MAPK8	ELK1
ELK1	EGR1
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PTK2B	RAC1
RAC1	MAPK1
SMAD2	SP1
MAPK1	JUN
RAC1	NFKB1
NFKB1	TP53
MAPK1	CREB1
RAC1	PIK3R5
PIK3R5	MTOR
MAPK1	ATF2
PTK2B	SRC
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
NFKB1	HIF1A
HIF1A	ARNT
MAPK1	SMAD3
MAPK1	SMAD4
MAPK1	ESR1
SRC	STAT3
STAT3	PPARGC1A
PPARGC1A	PPARA
MAPK1	ATF4
PTK2B	PXN
PXN	ITGB1
ITGB1	PRKACA
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	ELK1
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
GLI3	WNT5A
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
JUN	CXCL1
MAPK11	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND2
CTNNB1	CCND3
ELK1	CCND1
ATF2	PCNA
EGR3	FASLG
MAPK10	SMAD4
RELA	IL6
CREB3L2	PCNA
CREBBP	EDN1
CREBBP	FIGF
CREBBP	PFKFB4
CREBBP	PFKL
CREBBP	SLC2A1
EP300	EDN1
EP300	FIGF
EP300	PFKFB4
EP300	PFKL
EP300	SLC2A1
HIF1A	EDN1
HIF1A	FIGF
ARNT	ANGPT4
ARNT	PFKFB1
ARNT	PGK1
STAT5A	SOCS7
HNF1A	HNF4G
LEF1	MITF
MAPK3	CDK4
RELA	TRAF2
PIK3CG	AKT3
ETS1	MMP1
ETS1	VEGFB
JUN	VEGFC
MYC	VEGFC
NFKB1	CCND1
NFKB2	TRAF1
CREB3	BCL2
FOXO3	CDKN1B
FOXO3	PCK1
PPARA	CYP4A11
PPARA	LPL
PPARA	ACSBG2
PPARA	FADS2
PPARG	CPT1B
PPARG	PLIN1
RXRA	APOA5
RXRA	CPT1B
RXRB	GK2
MAPK1	IL6
MAPK9	IL12A
MAPK9	IL12B
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
MYB	TSC22D3
MYBL1	TSC22D3
USF2	CALCA
E2F4	CAV1
SP1	CD99
MYC	CDC25A
E2F1	CDC25A
E2F4	CDC45
TFAP2A	COL1A1
SP3	COL2A1
ETS1	DNTT
TFAP2A	ERBB2
BRCA1	ESR1
PPARG	ESR1
STAT5A	ESR1
STAT5B	ESR1
TP53	MMP2
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
JUN	MT1A
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
NFIC	POLE2
ETS1	PPP2R4
CREB1	PTGS2
PPARG	PTGS2
REL	PTGS2
USF2	PTGS2
MYC	PTMA
USF2	PTPN6
RELA	S100A6
RARG	S100A9
POU2F1	SFTPA1
NFIC	SFTPC
SP1	SOD1
JUN	SPP1
TFAP2A	TAF7
CREM	TH
HOXA4	TH
USF1	THBS1
SMAD4	TIMP1
ATF1	TNF
SMAD3	TNNC1
SMAD4	TNNC1
E2F4	TOP1
PAX5	TP53
CREB1	TRH
