PDE3A	ADCY1
ADCY1	PRKACA
PRKACA	NFKB1
PRKACA	MAPK1
MAPK1	STAT3
PRKACA	RELA
NFKB1	HIF1A
PRKACA	CREBBP
PRKACA	EP300
CREBBP	ARNT
MAPK1	ETS1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
MAPK8	FOS
MAPK1	MYC
MAPK8	TP53
CREBBP	SP1
CREBBP	EPAS1
MAPK8	ELK1
ELK1	SPI1
MAPK1	STAT1
ELK1	EGR1
PRKACA	CREB1
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
MAPK1	ETS2
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
PRKACA	XBP1
XBP1	CEBPA
PRKACA	ATF2
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK8	SMAD4
NFKB1	TRAF6
TRAF6	MYD88
MYD88	VDR
PRKACA	ATF1
TRAF6	IRF7
PRKACA	PDX1
MAPK8	FOXO3
MAPK8	SMAD3
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
RAPGEF3	MAPK14
MAPK14	CEBPB
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	ATF4
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
MAPK1	ESR1
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
MAPK8	FOXO1
CTNNB1	HNF1A
NFKB1	NFKB2
PRKACA	MAPK3
RAPGEF3	MAPK11
RAPGEF3	MAPK13
RAPGEF3	MAPK9
RAPGEF3	MAPK10
CREB5	NPY
NR3C2	ATP1B4
NR3C2	ATP1A2
NR3C2	ATP1B1
NR3C2	FXYD2
NR3C2	SCNN1B
CREB3	ARC
CREB1	ARC
ATF2	ARC
CREB3L4	FOS
CREB3L2	FOS
CREB3L1	PDYN
CREB5	FOS
NFKB1	BIRC8
GLI1	WNT16
GLI1	PTCH1
GLI1	BMP2
GLI1	WNT9A
GLI1	WNT10A
GLI1	PTCH2
GLI3	WNT1
GLI3	WNT2
TP53	CDKN1A
ARNTL	PER3
ARNTL	PER2
NPAS2	CRY1
NPAS2	CRY2
TCF7L1	MYC
ESR1	SLC8A1
ESR1	CALB1
VDR	TRPV5
MAPK11	CXCL1
MAPK11	IL8
RBPJL	CR2
RBPJL	FCER2
ELK1	BIRC2
JUN	CCND3
CREB3	IL8
CREB1	IL8
ATF2	PCNA
EP300	FASLG
IRF3	IFNB1
IRF7	IFNB1
MAPK8	SMAD4
MAPK9	SMAD4
RELA	MMP9
CREB3L3	PCNA
CREB3L1	IL8
CREB5	PCNA
CREBBP	EDN1
CREBBP	FLT1
CREBBP	ANGPT1
CREBBP	ANGPT2
CREBBP	PDK1
CREBBP	PFKFB2
CREBBP	PGF
CREBBP	TIMP1
CREBBP	VEGFA
CREBBP	HKDC1
EP300	EDN1
EP300	FLT1
EP300	ANGPT1
EP300	ANGPT2
EP300	PDK1
EP300	PFKFB2
EP300	PGF
EP300	TIMP1
EP300	VEGFA
EP300	HKDC1
HIF1A	EDN1
HIF1A	FLT1
HIF1A	ANGPT1
HIF1A	ANGPT2
HIF1A	PDK1
HIF1A	PFKFB2
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
LEF1	SOX2
LEF1	AXIN2
LEF1	CCND2
TCF7	BIRC2
TCF7	AXIN1
TCF7	CCND3
TCF7L2	SNAI2
TCF7L2	AXIN2
TEAD1	CTGF
TEAD1	MYC
TEAD1	CCND1
TEAD1	NKD1
TEAD4	GLI2
TEAD4	BIRC2
TEAD4	SOX2
TEAD4	NKD1
TEAD4	CCND2
TEAD3	BIRC2
TEAD3	SNAI2
TEAD3	SOX2
TEAD3	CCND3
TCF7L1	SNAI2
TCF7L1	SOX2
TCF7L1	CCND3
TEAD2	BIRC2
TEAD2	BIRC5
TEAD2	AXIN1
TEAD2	CCND3
SMAD2	SLC2A1
SOS1	SPRY4
SOS2	CCND1
STAT1	CCND1
STAT1	SOCS2
STAT2	MYC
STAT4	SOCS4
STAT4	SOCS3
STAT5A	CCND2
STAT5B	SOCS4
STAT5B	CCND3
MITF	TYRP1
TCF7L2	MITF
CREB3L3	MITF
VDR	TRPV6
NFKB1	CXCL2
NFKB1	CCL4L2
NFKB1	GADD45B
NFKB1	NFKBIA
NFKB1	PTGS2
NFKB1	BCL2A1
NFKB1	TNFAIP3
NFKB1	TRAF2
NFKB1	VCAM1
NFKB1	CCL4L1
NFKB2	ICAM1
NFKB2	CCL13
NFKB2	CCL19
RELA	GADD45B
RELA	NFKB2
RELA	PLAU
RELA	BCL2A1
RELA	TRAF1
RELA	TRAF2
RELB	TNFSF13B
RELB	CCL13
RELB	CCL21
PIK3R5	AKT1
PIK3R5	PDPK1
PIK3CA	AKT1
PIK3CA	AKT2
PIK3CB	AKT2
PIK3CD	AKT1
