GABRA1	PRKCD
PRKCD	APP
APP	MYC
PRKCD	EP300
EP300	MAX
APP	SYVN1
SYVN1	ATF6
PRKCD	STAT3
STAT3	NCOA1
NCOA1	RARB
EP300	CREB1
EP300	RARA
PRKCD	HSP90AA1
HSP90AA1	NFIC
PRKCD	ELAVL1
ELAVL1	CEBPA
EP300	TFAP2A
PRKCD	SP1
EP300	RXRA
APP	AKAP13
AKAP13	RXRB
EP300	PPARG
PPARG	RXRG
STAT3	JUN
GABRA3	SDCBP2
SDCBP2	C1orf35
C1orf35	APP
SDCBP2	ZCCHC10
ZCCHC10	SNIP1
SNIP1	MAX
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	UBC
UBC	ATF6
SDCBP2	BEND7
BEND7	C1QBP
C1QBP	CEBPA
CEBPA	RARB
ZCCHC10	TP53
TP53	CREB1
ZCCHC10	PIN1
PIN1	RARA
TRAF6	SMURF1
SMURF1	NFIC
TP53	TFAP2A
TP53	SP1
SDCBP2	PRPF40A
PRPF40A	UBE2I
UBE2I	RXRA
TIFA	IRAK1
IRAK1	CUL1
CUL1	RXRG
PIN1	JUN
PIN1	PPARG
GABRA4	APP
APP	KAT5
KAT5	MAX
APP	MAPK8
MAPK8	CEBPA
KAT5	CREB1
APP	PHF8
PHF8	RARA
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	NFIC
MYC	TFAP2A
MAPK8	SP1
APP	GSK3B
GSK3B	RXRA
MAPK8	NR4A1
NR4A1	RXRG
MAPK8	JUN
APP	RFX5
RFX5	PPARG
CHRNA4	YWHAH
YWHAH	PAK2
PAK2	MYC
YWHAH	PPP1CA
PPP1CA	MAX
YWHAH	YWHAZ
YWHAZ	UBC
YWHAH	PIK3CA
PIK3CA	SMAD2
SMAD2	RARB
YWHAH	ABL1
ABL1	CREB1
YWHAZ	AJUBA
AJUBA	RARA
YWHAH	SNRPE
SNRPE	HSP90AA1
YWHAZ	NFATC4
NFATC4	CEBPA
YWHAZ	TP53
YWHAZ	CTNNB1
CTNNB1	SP1
YWHAH	CBL
CBL	SRC
SRC	RXRA
YWHAH	YWHAG
YWHAG	AKAP13
AJUBA	RXRG
ABL1	JUN
CTNNB1	PPARG
CHRNA7	FYN
FYN	HSP90AA1
HSP90AA1	MYC
HSP90AA1	MAX
FYN	NR3C1
NR3C1	CREB1
CREB1	ATF6
FYN	BCL3
BCL3	NCOA1
BCL3	EP300
BCL3	FOS
FOS	CEBPA
FYN	CTNNB1
BCL3	RXRA
NR3C1	RXRB
BCL3	JUN
GRIA2	PICK1
PICK1	EFNB1
EFNB1	MYC
GRIA2	SDCBP
SDCBP	TRIM32
TRIM32	MYCN
MYCN	MAX
TRIM32	UBC
SDCBP	TDO2
TDO2	MEOX2
MEOX2	RARB
GRIA2	GRIP1
GRIP1	CREBBP
CREBBP	CREB1
TRIM32	RARA
SDCBP	TRAF6
GRIP1	VDR
VDR	CEBPA
SDCBP	KCTD1
KCTD1	TFAP2A
GRIP1	CTNNB1
TRIM32	RXRA
GRIP1	PPARG
PPARG	RXRB
SDCBP	MBD3
MBD3	JUN
GRIK2	PICK1
GRIK2	SDCBP
GRIK2	DLG3
DLG3	CAMK2A
CAMK2A	CREB1
GRIK2	GRIP1
GRIK2	DLG1
DLG1	BTRC
BTRC	SP1
GABRB1	NOD1
NOD1	HSP90AA1
NOD1	UBC
NOD1	CASP8
CASP8	CEBPB
CEBPB	RARB
NOD1	RNF34
RNF34	TP53
UBC	E2F1
E2F1	RARA
UBC	C1QBP
HSP90AA1	SP1
NOD1	CASP2
CASP2	RXRA
HSP90AA1	NR3C1
UBC	CUL1
NOD1	CASP9
CASP9	JUN
UBC	SFPQ
SFPQ	PPARG
GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	MYC
GSK3B	SMAD3
SMAD3	MAX
GSK3B	CREB1
TRAK2	PRKAB2
PRKAB2	MEOX2
GSK3B	MAPK1
MAPK1	RARA
GSK3B	HSP90AA1
PRKAB2	YY1AP1
YY1AP1	CEBPA
GSK3B	TP53
PRKAB2	CRX
CRX	SP1
TRAK2	KLC1
KLC1	APP
PRKAB2	MDFI
MDFI	NR1H2
NR1H2	RXRG
GSK3B	JUN
GSK3B	CTNNB1
GABRB3	MEOX2
MEOX2	KAT5
KAT5	MYC
GABRB3	PRKACA
PRKACA	CREB1
MEOX2	PIN1
PRKACA	HSP90AA1
KAT5	CEBPA
GABRB3	PRKCA
PRKCA	EP300
MEOX2	RELA
RELA	SP1
RELA	RXRA
RARB	RXRB
RARB	RXRG
RELA	JUN
PRKCA	PPARG
GABRD	UBQLN1
UBQLN1	APP
UBQLN1	UBC
UBQLN1	UBE3A
UBE3A	MEOX2
UBQLN1	ATXN3
ATXN3	CREB1
UBE3A	RARA
UBQLN1	PSEN2
UBE3A	CEBPA
UBQLN1	EPS15
EPS15	TFAP2A
UBQLN1	UBQLN4
UBQLN4	RXRA
RARA	RXRG
UBQLN1	HCVgp1
HCVgp1	JUN
GABRE	CUX1
CUX1	BIN1
BIN1	MYC
MYC	MAX
GABRE	ALG9
ALG9	XBP1
XBP1	ATF6
GABRE	HLA-A
HLA-A	MEOX2
CUX1	RECQL5
RECQL5	CREB1
GABRE	GPAA1
GPAA1	PIN1
CUX1	CDK7
CDK7	HSP90AA1
MYC	CEBPA
GABRE	FAM189B
FAM189B	HECW2
HECW2	TFAP2A
CUX1	CCNA1
CCNA1	SP1
GABRE	LSR
LSR	RARG
RARG	RXRA
RARG	RXRB
RARG	RXRG
HLA-A	STAT3
GABRG2	GABARAP
GABARAP	NEDD4
NEDD4	YY1
YY1	MYC
NEDD4	SMAD3
YY1	ATF6
NEDD4	SMAD2
NEDD4	AKT1
AKT1	CREB1
GABARAP	SQSTM1
SQSTM1	RARA
GABARAP	KEAP1
KEAP1	HSP90AA1
SMAD3	CEBPA
NEDD4	PPARG
PPARG	TFAP2A
SMAD3	SP1
NEDD4	SRC
GABARAP	TAX1BP1
TAX1BP1	ITCH
ITCH	JUN
GRIN1	SPTAN1
SPTAN1	MLH1
MLH1	MYC
SPTAN1	FANCA
FANCA	HSP90AA1
MLH1	UBC
SPTAN1	SPTBN1
SPTBN1	SMAD2
SPTAN1	LMNB1
LMNB1	POU2F1
POU2F1	CREB1
POU2F1	RARA
SPTAN1	MSN
MSN	MAPK8
SPTAN1	PPFIA1
PPFIA1	BRCA1
BRCA1	TFAP2A
MSN	CTNNB1
GRIN1	GRIN2A
GRIN2A	SRC
SRC	THRB
THRB	RXRB
THRB	RXRG
LMNB1	PRKCA
GRIN2A	DLG1
BTRC	MYC
GRIN2A	FYN
BTRC	MAPK14
MAPK14	ATF6
BTRC	NCOR2
NCOR2	RARB
SRC	CREBBP
CREBBP	RARA
BTRC	SMAD4
SMAD4	CEBPA
SRC	TP53
SRC	STAT3
CREBBP	PPARG
GRIN2B	DLG1
GRIN2B	FYN
GRIN2B	DLG3
GRIN2B	ARHGAP32
ARHGAP32	AKT1
AKT1	RARA
DLG3	APC
APC	TFAP2A
NCOR2	RXRG
GRIN2B	DLG4
DLG4	MDM2
MDM2	JUN
DLG4	PRKCA
GRIN2D	NEDD4
SMAD3	SMURF1
SMAD3	JUN
GRIN3B	GRIN1
GRIN3B	GRIN2A
PPARG	PCK2
PPARG	SCD
RXRA	PCK2
RXRA	SCD
RXRB	PCK2
RXRB	SCD
RXRG	PCK2
RXRG	SCD
MAX	CDK6
MYC	CDK6
CEBPA	TWF2
CREB1	TWF2
SP1	COL2A1
RARA	CRABP2
RARB	CRABP2
SP1	IGFBP3
TFAP2A	IGFBP3
MYC	NRAS
CREB1	NRAS
JUN	NRAS
TFAP2A	NRAS
CEBPA	PCK2
NFIC	PCK2
CREB1	PLAT
JUN	PLAT
NFIC	PLAT
TFAP2A	PLAT
SP1	TTR
ATF6	XBP1
