SLC22A6	APP
APP	PSEN2
PSEN2	TRAF6
TRAF6	IRF7
APP	TIRAP
TIRAP	MYD88
APP	MAPK8
MAPK8	REL
REL	NEUROG3
MAPK8	SP1
APP	DDX54
DDX54	ESR1
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
MAPK8	NR4A1
NR4A1	RXRG
MAPK8	STAT3
APP	HDAC4
HDAC4	STAT1
APP	RFX5
RFX5	PPARG
APP	KAT5
KAT5	CREB1
MAPK8	CTNNB1
CTNNB1	PPARD
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
APP	MCM7
MCM7	HIF1A
PSEN2	ELAVL1
ELAVL1	ARNT
AKAP13	PPARA
APP	HSPA8
HSPA8	HTT
HTT	ETV4
MAPK8	JUN
APP	MYC
MYC	TFAP2A
GSK3B	NFKB1
MAPK8	SPI1
MYC	GLI1
APP	APBB1
APBB1	HDAC1
HDAC1	GLI2
HDAC1	GLI3
APP	MAPK7
MAPK7	ETS1
MYC	VDR
MAPK8	TP53
MAPK7	FOS
EP300	PAX6
APP	SHC1
SHC1	STAT5A
SHC1	STAT5B
APP	LTV1
LTV1	FPR1
FPR1	PIK3R5
APP	WDR5
WDR5	PIK3CA
APP	TGFBR2
TGFBR2	PIK3CB
MAPK8	CRK
CRK	PIK3CD
APP	SNCA
SNCA	GABARAPL1
GABARAPL1	PIK3CG
SHC1	PIK3R1
SHC1	PIK3R2
TGFBR2	PIK3R3
APP	HGS
HGS	ESRRG
ESRRG	MEOX2
MEOX2	PAX1
APP	EEF1D
EEF1D	RELA
RELA	SP3
HSPA8	POU2F1
HGS	MAP3K10
MAP3K10	NEUROD1
HDAC1	NKX2-2
ELAVL1	STAT2
MAPK8	PIAS2
PIAS2	STAT4
HGS	AHCYL1
AHCYL1	STAT6
MAPK8	ATF2
PANX1	GNAS
GNAS	AXIN1
AXIN1	TNFAIP3
TNFAIP3	IRF7
GNAS	SHMT2
SHMT2	HDAC6
HDAC6	MYD88
GNAS	NUCB1
NUCB1	REL
GNAS	C1QBP
C1QBP	PRKCZ
PRKCZ	SP1
GNAS	GIPC1
GIPC1	MMS19
MMS19	ESR1
GNAS	RUVBL1
RUVBL1	UBE2I
UBE2I	RXRA
RUVBL1	RARA
RARA	RXRB
RARA	RXRG
GNAS	HLA-A
HLA-A	STAT3
GNAS	GNB2
GNB2	STAT1
C1QBP	PRKCA
PRKCA	PPARG
RUVBL1	CREBBP
CREBBP	CREB1
RUVBL1	CTNNB1
C1QBP	PRKCD
PRKCD	EP300
GIPC1	MCM7
RUVBL1	ELAVL1
C1QBP	DAP3
DAP3	PPARA
AXIN1	HTT
C1QBP	PRKD1
PRKD1	JUN
GIPC1	SH3BP4
SH3BP4	TFAP2A
C1QBP	NFKBIE
NFKBIE	NFKB1
C1QBP	CEBPA
CEBPA	SPI1
AXIN1	MYC
AXIN1	SKI
SKI	GLI2
PRKCA	GLI3
CREBBP	ETS1
CEBPA	VDR
AXIN1	TP53
CEBPA	FOS
RUVBL1	AR
AR	PAX6
RUVBL1	LEF1
LEF1	STAT5A
SHMT2	ELP2
ELP2	STAT5B
GNAS	PAICS
PAICS	ZPR1
ZPR1	FPR1
PAICS	PCBP1
PCBP1	PIK3CA
PCBP1	PIK3CB
GIPC1	TAGLN
TAGLN	PIK3CD
PIK3CD	PIK3CG
PCBP1	PIK3R1
GNAS	GNG5
GNG5	GOLGA2
GOLGA2	PIK3R2
SHMT2	RELT
RELT	PIK3R3
HLA-A	MEOX2
CREBBP	SP3
C1QBP	HSPA8
GIPC1	ACTN1
ACTN1	PDHX
PDHX	NEUROD1
C1QBP	PHB2
PHB2	HDAC1
PAICS	HSPB1
HSPB1	STAT2
PAICS	TKT
TKT	STAT4
C1QBP	AHCYL1
CREBBP	ATF2
GIPC1	OGT
OGT	RELA
CREB1	PDYN
ATF2	PDYN
NFKB1	XIAP
RELA	XIAP
GLI1	WNT11
GLI2	WNT11
GLI3	WNT11
TP53	GADD45A
ESR1	TRPV5
ESR1	SLC8A1
VDR	TRPV5
VDR	SLC8A1
CREBBP	EDN1
CREBBP	FLT1
CREBBP	NPPA
CREBBP	PFKFB1
CREBBP	TEK
CREBBP	TIMP1
CREBBP	VEGFB
EP300	EDN1
EP300	FLT1
EP300	NPPA
EP300	PFKFB1
EP300	TEK
EP300	TIMP1
EP300	VEGFB
HIF1A	EDN1
HIF1A	FLT1
HIF1A	NPPA
HIF1A	PFKFB1
HIF1A	TEK
HIF1A	TIMP1
HIF1A	VEGFB
ARNT	EDN1
ARNT	FLT1
ARNT	NPPA
ARNT	PFKFB1
ARNT	TEK
ARNT	TIMP1
ARNT	VEGFB
STAT1	SOCS7
STAT2	SOCS7
STAT3	SOCS7
STAT4	SOCS7
STAT5A	SOCS7
STAT5B	SOCS7
STAT6	SOCS7
NEUROD1	INS
NKX2-2	INS
NEUROG3	NEUROD1
NEUROG3	PAX4
NEUROG3	PAX6
PAX6	INS
NFKB1	CFLAR
PIK3R5	AKT2
PIK3CA	AKT2
PIK3CB	AKT2
PIK3CD	AKT2
PIK3CG	AKT2
PIK3R1	AKT2
PIK3R2	AKT2
PIK3R3	AKT2
TP53	TP73
NFKB1	VEGFB
RELA	VEGFB
STAT1	VEGFB
STAT3	VEGFB
ETS1	VEGFB
FOS	VEGFB
JUN	VEGFB
PPARA	UCP1
PPARA	ACSBG2
PPARD	FABP3
PPARD	UBC
PPARD	UCP1
PPARG	UCP1
PPARG	ACSBG2
RXRA	FABP3
RXRA	UBC
RXRA	UCP1
RXRA	ACSBG2
RXRB	FABP3
RXRB	UBC
RXRB	UCP1
RXRB	ACSBG2
RXRG	FABP3
RXRG	UBC
RXRG	UCP1
RXRG	ACSBG2
IRF7	IFNA1
IRF7	IFNA2
IRF7	IFNA4
IRF7	IFNA5
IRF7	IFNA6
IRF7	IFNA8
IRF7	IFNA14
IRF7	IFNA16
IRF7	IFNA17
SPI1	FCGR1A
MYD88	IFNA1
MYD88	IFNA2
MYD88	IFNA4
MYD88	IFNA5
MYD88	IFNA6
MYD88	IFNA8
MYD88	IFNA14
MYD88	IFNA16
MYD88	IFNA17
STAT1	CIITA
SP1	ADH6
SPI1	CD68
SP3	CHI3L1
SPI1	CHI3L1
NFKB1	CSF1
SP1	CYP17A1
SP3	CYP17A1
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
PPARG	GADD45A
POU2F1	IL4
ATF2	INS
JUN	NPPA
PPARG	POU2F1
ESR1	SP1
ETS1	SPP1
ETV4	SPP1
JUN	SPP1
POU2F1	SPP1
SP1	SPP1
CREB1	TIMP1
ETS1	TIMP1
ETV4	TIMP1
FOS	TIMP1
JUN	TIMP1
SP1	TIMP1
STAT1	TIMP1
STAT3	TIMP1
TFAP2A	TIMP1
HIF1A	VHL
PAX1	VHL
TFAP2A	VHL
ETV4	VIM
