HPGDS	ARRDC3
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	NFIC
ARRDC3	ARRB2
ARRB2	AKT1
AKT1	CREB1
ARRB2	CAPN1
CAPN1	HIF1A
ARRB2	NPM1
NPM1	TFAP2A
ARRB2	MAPK1
MAPK1	SP1
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRDC3	ITCH
ITCH	JUN
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
HSP90AA1	ARNT
ITCH	TP53
TP53	ETS1
ARRB2	C1QBP
C1QBP	PRKCD
PRKCD	FLI1
C1QBP	CEBPA
ARRB2	PRMT5
PRMT5	RELA
ARRDC3	NEDD4
NEDD4	ERG
ARRB2	NONO
NONO	SPI1
NFKB1	BCL2L1
RELA	BCL2L1
CREBBP	EDN1
EP300	EDN1
HIF1A	EDN1
ARNT	EDN1
ETS1	MMP2
HIF1A	TGFB3
JUN	MMP2
CREB1	TINAGL1
NFIC	TINAGL1
CREB1	CGA
NFIC	CGA
TFAP2A	CGA
CEBPA	ITGA2
SP1	ITGA2
TFAP2A	ITGA2
CEBPA	MMP2
ERG	MMP2
FLI1	MMP2
SP1	MMP2
SPI1	MMP2
TFAP2A	MMP2
