PCCB	LYPLA1
LYPLA1	APRT
APRT	APP
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
LYPLA1	ASNS
ASNS	MAPK3
MAPK3	SP1
MAPK3	RXRA
APP	AKAP13
AKAP13	RXRB
LYPLA1	DPYSL2
DPYSL2	CRMP1
CRMP1	CUL1
CUL1	RXRG
APP	RFX5
RFX5	PPARG
DPYSL2	ARFIP1
ARFIP1	STAT3
STAT3	NFKB2
APP	TIRAP
TIRAP	MYD88
DPYSL2	LEF1
LEF1	SMAD3
SMAD3	IRF7
APP	ELK1
ASNS	PPP1CA
PPP1CA	CREB1
DPYSL2	TUBA1A
TUBA1A	SQSTM1
SQSTM1	IRF8
APP	SET
SET	IRF1
APRT	HECW2
HECW2	TFAP2A
LYPLA1	PRDX6
PRDX6	GLO1
GLO1	MEOX2
MEOX2	PAX1
DPYSL2	NTMT1
NTMT1	MAPK1
HLCS	SNX27
SNX27	INSR
INSR	SOCS3
SOCS3	NFKB1
SNX27	NTRK1
NTRK1	RELA
INSR	PRKCD
PRKCD	SP1
NTRK1	PML
PML	RXRA
INSR	STAT5A
STAT5A	PPARG
PPARG	RXRB
NTRK1	CUL1
NTRK1	STAT3
INSR	SQSTM1
SQSTM1	MYD88
INSR	IRF7
NTRK1	MAPK1
MAPK1	ELK1
NTRK1	ABL1
ABL1	CREB1
NTRK1	SMARCA4
SMARCA4	IRF1
NTRK1	RB1
RB1	TFAP2A
NTRK1	KTN1
KTN1	MEOX2
INSR	ARRB2
ARRB2	MAPK3
MCCC2	HMGCL
HMGCL	HES1
HES1	STAT3
STAT3	NFKB1
HMGCL	RNF126
RNF126	UBE2D2
UBE2D2	RELA
STAT3	SP1
HMGCL	ARL6IP1
ARL6IP1	INPP5K
INPP5K	NCOR2
NCOR2	RXRA
HMGCL	LSM12
LSM12	HSP82
HSP82	NR3C1
NR3C1	RXRB
NCOR2	RXRG
NCOR2	PPARG
ARL6IP1	FBXW7
FBXW7	NFKB2
RNF126	CDKN1A
CDKN1A	HDAC6
HDAC6	MYD88
INPP5K	TANK
TANK	IRF7
ARL6IP1	GORASP2
GORASP2	APP
HES1	SIRT1
SIRT1	CREB1
LSM12	THP2
THP2	TOP1
TOP1	IRF8
ARL6IP1	DIABLO
DIABLO	BIRC3
BIRC3	IRF1
FBXW7	MYC
MYC	TFAP2A
HMGCL	TOMM40
TOMM40	PARK2
PARK2	MEOX2
STAT3	MAPK1
HMGCL	DNAJA1
DNAJA1	IQGAP1
IQGAP1	MAPK3
PC	KPNA4
KPNA4	CUL4B
CUL4B	NFKB1
KPNA4	TP53
TP53	RELA
TP53	SP1
KPNA4	APP
GSK3B	RXRA
TP53	NR4A1
NR4A1	RXRG
PC	COPB1
COPB1	XRCC6
XRCC6	PPARG
KPNA4	DAXX
DAXX	TSG101
TSG101	NFKB2
TP53	IRF7
DAXX	CREB1
RELA	IRF8
PC	CAD
CAD	SMARCA4
TP53	TFAP2A
TP53	SMAD3
SMAD3	MEOX2
TP53	MAPK1
TP53	MAPK3
PCCA	PCCB
ACACA	BRCA1
BRCA1	EP300
EP300	NFKB1
BRCA1	RELA
BRCA1	SP1
EP300	RXRA
EP300	NR3C1
BRCA1	RPAP2
RPAP2	RXRG
EP300	PPARG
RELA	NFKB2
ACACA	PSMD2
PSMD2	MDM2
MDM2	MYD88
BRCA1	SMAD3
BRCA1	CREBBP
CREBBP	ELK1
BRCA1	CREB1
EP300	IRF1
BRCA1	TFAP2A
BRCA1	MAPK1
BRCA1	MAPK3
CREB1	BDNF
NFKB1	BIRC3
NFKB1	XIAP
RELA	BIRC3
RELA	XIAP
ELK1	BIRC3
ELK1	XIAP
NFKB1	HIF1A
RELA	HIF1A
MYD88	IL12A
MYD88	IL12B
NFKB1	BCL2A1
RELA	BCL2A1
NFKB1	TRAF6
NFKB2	BIRC3
NFKB2	XIAP
NFKB2	TRAF6
RELA	TRAF6
IRF8	IL12A
IRF8	IL12B
IRF1	IL12A
IRF1	IL12B
PPARG	CYP27A1
PPARG	GK2
PPARG	ACSBG2
RXRA	CYP27A1
RXRA	EHHADH
RXRA	FABP3
RXRA	GK2
RXRA	ILK
RXRA	ACSBG2
RXRB	CYP27A1
RXRB	EHHADH
RXRB	FABP3
RXRB	GK2
RXRB	ILK
RXRB	ACSBG2
RXRG	CYP27A1
RXRG	EHHADH
RXRG	FABP3
RXRG	GK2
RXRG	ILK
RXRG	ACSBG2
IRF7	IFNA1
IRF7	IFNA2
IRF7	IFNA5
IRF7	IFNA8
IRF7	IFNA14
NFKB1	IL12A
NFKB1	IL12B
RELA	IL12A
RELA	IL12B
MYD88	IFNA1
MYD88	IFNA2
MYD88	IFNA5
MYD88	IFNA8
MYD88	IFNA14
MAPK1	IL12A
MAPK1	IL12B
MAPK3	IL12A
MAPK3	IL12B
SP1	ADH6
SP1	GYPC
PAX1	VHL
TFAP2A	VHL
