HTR2A	CBL
CBL	YWHAQ
YWHAQ	E2F1
CBL	SMAD3
SMAD3	E2F4
CBL	GRB2
GRB2	HSP90AA1
HSP90AA1	NFIC
CBL	CTNNB1
CTNNB1	SP1
GRB2	BCAR1
BCAR1	E2F2
CTNNB1	HDAC1
HDAC1	E2F3
GRB2	EP300
EP300	TFAP2A
SMAD3	RBL1
RBL1	TFDP2
CBL	MAPK8
MAPK8	HSF1
SMAD3	CEBPA
CBL	YWHAZ
YWHAZ	TP53
CBL	ABL1
ABL1	CREB1
CTNNB1	LEF1
CBL	UBC
UBC	DAZAP2
DAZAP2	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
SMAD3	YAP1
CTNNB1	SOX2
SOX2	TEAD1
GRB2	TRIM27
TRIM27	TEAD4
GRB2	AP4S1
AP4S1	TEAD3
CBL	EGFR
EGFR	STAT5A
EGFR	STAT5B
EP300	USF2
CTNNB1	CDK2
CDK2	TFDP1
MAPK8	MYC
EP300	ETS2
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	E2F1
DRD2	CALM1
CALM1	AR
AR	E2F4
CALM1	HSP90AA1
CDKN2A	SP1
DRD2	PAWR
PAWR	SHMT2
SHMT2	E2F2
DRD2	FLNA
FLNA	LMNA
LMNA	RB1
RB1	E2F3
RB1	TFAP2A
RB1	TFDP2
FLNA	FILIP1
FILIP1	HSF1
LMNA	KAT5
KAT5	CEBPA
FLNA	RANBP2
RANBP2	TP53
PPP1R9B	PPP1CA
PPP1CA	CREB1
LMNA	CTNNB1
FLNA	REL
REL	ATXN1
ATXN1	DAZAP2
AR	TCF7L2
PPP1CA	YAP1
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	NCOA1
NCOA1	TEAD1
FLNA	BSG
BSG	VPS52
VPS52	TEAD4
E2F1	TEAD3
PAWR	SQSTM1
SQSTM1	STAT5A
FLNA	RBM39
RBM39	PGR
PGR	STAT5B
REL	EP300
RB1	TFDP1
EPB41L1	APP
APP	MYC
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	YWHAQ
GNAI3	XPO1
XPO1	E2F4
YWHAQ	SMURF1
SMURF1	NFIC
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
S1PR1	TRIP6
TRIP6	BCAR1
YWHAQ	TRIM28
TRIM28	E2F3
GNAI3	GNAI2
GNAI2	NPM1
NPM1	TFAP2A
E2F1	TFDP2
YWHAQ	HSPB1
HSPB1	HSF1
TRIP6	PTK2
PTK2	TP53
HTR1A	HTR1D
HTR1D	HTR1B
HTR1B	MDFI
MDFI	KAT5
KAT5	CREB1
SMAD3	LEF1
WWP2	UBC
WWP2	SMAD7
SMAD7	TCF7L2
TRIP6	PYGO2
PYGO2	CTNNB1
