ADRA1B	AP2M1
AP2M1	SFPQ
SFPQ	PPARG
AP2M1	EEF1A1
EEF1A1	GADD45G
GADD45G	PPARA
GADD45G	PPARD
AP2M1	APC
APC	CREBBP
AP2M1	CLTC
CLTC	EP300
EP300	HIF1A
EP300	ARNT
ADRA1D	GOPC
GOPC	RELA
RELA	PPARG
RELA	PPARA
ADRA1D	DTNA
DTNA	NUP62
NUP62	CTNNB1
CTNNB1	PPARD
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	CREBBP
DTNA	ACTB
ACTB	EP300
RELA	HIF1A
KCNH2	YWHAE
YWHAE	XPO1
XPO1	PPARG
KCNH2	HSP90AA1
HSP90AA1	PPARA
HSP90AA1	PPARD
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
HSP90AA1	HIF1A
HSP90AA1	ARNT
CREBBP	SERPINE1
EP300	SERPINE1
HIF1A	SERPINE1
ARNT	SERPINE1
PPARA	LIPA
PPARD	LIPA
PPARG	LIPA
PPARA	SERPINE1
PPARD	SERPINE1
PPARG	SERPINE1
