HTR2A	CBL
CBL	BAG1
BAG1	RARA
CBL	SMAD3
SMAD3	NCOA1
NCOA1	RARB
CBL	YWHAZ
YWHAZ	AJUBA
AJUBA	RARG
CBL	CTNNB1
CTNNB1	SP1
CBL	ABL1
ABL1	TP73
YWHAZ	TP53
ADRA2A	GNAI2
GNAI2	TRIP6
TRIP6	AJUBA
AJUBA	RARA
GNAI2	ITCH
ITCH	SMAD2
SMAD2	RARB
ADRA2A	UCHL1
UCHL1	CTNNB1
ITCH	TP73
UCHL1	TP53
HTR2C	CALM1
CALM1	AKT1
AKT1	RARA
HTR2C	DLG4
DLG4	MDM2
MDM2	SMARCE1
SMARCE1	RARB
MDM2	MRPL12
MRPL12	RARG
CALM1	ESR1
ESR1	SP1
MDM2	TP73
DLG4	ERBB4
ERBB4	TP53
OPRK1	SIAH1
SIAH1	BAG1
SIAH1	STAT3
STAT3	NCOA1
NCOA1	RARG
STAT3	SP1
SIAH1	UBE2I
UBE2I	TP73
SIAH1	TXN
TXN	TP53
ADRA2C	UCHL1
CTNNB1	EP300
EP300	RARA
UCHL1	UBE2I
UBE2I	NCOR2
NCOR2	RARB
ADRA2C	EIF2B1
EIF2B1	GORASP2
GORASP2	ACY3
ACY3	RARG
HTR7	CUL3
CUL3	SNW1
SNW1	RARA
CUL3	SMARCE1
CUL3	NCOA3
NCOA3	RARG
CUL3	CTNNB1
CUL3	DAXX
DAXX	TP73
CUL3	YWHAZ
ADRA1B	AP2M1
AP2M1	CLTC
CLTC	EP300
AP2M1	IKZF1
IKZF1	NCOR2
NCOR2	RARG
AP2M1	SFPQ
SFPQ	SP1
AP2M1	HSPA9
HSPA9	TP73
AP2M1	BCR
BCR	TP53
ADRA1D	DTNA
DTNA	TJP1
TJP1	ACTN4
ACTN4	RARA
ADRA1D	GOPC
GOPC	RELA
RELA	NCOR2
DTNA	NUP62
NUP62	SP1
DTNA	ACTB
ACTB	EP300
EP300	TP73
DTNA	NMT1
NMT1	TP53
DRD2	PAWR
PAWR	SQSTM1
SQSTM1	RARA
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	NCOA1
DRD2	FLNA
FLNA	SRRM2
SRRM2	MRPL12
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
PAWR	FBXO45
FBXO45	TP73
FLNA	RANBP2
RANBP2	TP53
DRD3	GIPC1
GIPC1	MMS19
MMS19	RARA
DRD3	EPB41L1
GIPC1	MCM7
MCM7	RB1
RB1	SP1
MMS19	XPO1
XPO1	TP73
COPS5	TP53
SLC6A2	SNCA
SNCA	AKT1
SNCA	MAPK8
MAPK8	CEBPA
CEBPA	RARB
MAPK8	NCOA3
MAPK8	SP1
SNCA	PIN1
PIN1	TP73
SNCA	PTK2
PTK2	TP53
SLC6A4	SNCA
SLC6A3	SNCA
SLC6A3	NEDD4
NEDD4	SMAD2
NEDD4	ARID1A
ARID1A	RARG
SLC6A3	TGFB1I1
TGFB1I1	SMAD3
SMAD3	SP1
TGFB1I1	NR3C1
NR3C1	TP53
HTR2B	AGTR1
AGTR1	ZBTB16
ZBTB16	RARA
ZBTB16	NCOR2
AGTR1	MAPK1
MAPK1	SP1
AGTR1	GNB2L1
GNB2L1	TP73
ZBTB16	TP53
DRD1	RANBP9
RANBP9	APP
APP	PHF8
PHF8	RARA
RANBP9	ESR1
ESR1	NCOR2
ESR1	NCOA3
RANBP9	TP73
ESR1	TP53
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	EP300
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	PRKD2
PRKD2	RARB
GNA13	PTK2B
PTK2B	EGFR
EGFR	LSR
LSR	RARG
HSP90AA1	SP1
HSP90AA1	TP53
ADRB1	ARRB2
ARRB2	AKT1
ARRB2	RPA1
RPA1	CCNH
CCNH	RARB
ARRB2	C1QBP
C1QBP	MRPL12
ARRB2	MAPK1
ARRB2	ITCH
ARRB2	IGF1R
IGF1R	TP53
ADRB2	STAT3
STAT3	PML
PML	RARA
ADRB2	MRPL12
ADRB2	GNB2L1
ADRB2	TSG101
TSG101	TP53
TP73	BBC3
TP53	CD82
RARA	CRABP2
RARB	CRABP2
RARG	CRABP2
SP1	TAF7
