DDC	RELA
RELA	MAPK14
MAPK14	ATF6
RELA	TP53
RELA	HIF1A
RELA	CREBBP
RELA	EP300
EP300	ARNT
RELA	JUN
RELA	STAT3
RELA	NFKB1
EP300	STAT5A
RELA	NR3C1
NR3C1	STAT5B
STAT3	STAT1
EP300	STAT2
JUN	STAT4
STAT3	STAT6
RELA	SMAD3
SMAD3	YAP1
EP300	CREB1
SMAD3	LEF1
RELA	UBC
UBC	DAZAP2
DAZAP2	TCF7
RELA	AR
AR	TCF7L2
EP300	CTNNB1
CTNNB1	TCF7L1
EP300	FOXO3
STAT3	EGFR
EGFR	SOS1
RELA	ESR1
ESR1	SOS2
CREBBP	ELK1
RELA	SP1
EP300	ETS1
RELA	POU2F1
EP300	Cebpb
Cebpb	NFIC
STAT3	NCOA1
NCOA1	TEAD1
EP300	GOLGA2
GOLGA2	TEAD4
EP300	E2F1
E2F1	TEAD3
EP300	TFAP2A
RELA	REL
EP300	MYC
RELA	ATF4
NFKB1	BIRC3
RELA	BIRC3
TP53	CDKN1A
LEF1	MYC
TCF7	MYC
TCF7L2	MYC
TCF7L1	MYC
ELK1	BIRC3
ELK1	CCND3
JUN	CCND3
CREB1	PCNA
ATF4	PCNA
TP53	CDKN1B
CREBBP	CDKN1A
CREBBP	CDKN1B
CREBBP	TFRC
CREBBP	HKDC1
EP300	CDKN1A
EP300	CDKN1B
EP300	TFRC
EP300	HKDC1
HIF1A	CDKN1A
HIF1A	CDKN1B
HIF1A	TFRC
HIF1A	HKDC1
ARNT	CDKN1A
ARNT	CDKN1B
ARNT	TFRC
ARNT	HKDC1
YAP1	MYC
YAP1	CCND3
LEF1	CCND3
TCF7	CCND3
TCF7L2	CCND3
TEAD1	MYC
TEAD1	CCND3
TEAD4	MYC
TEAD4	CCND3
TEAD3	MYC
TEAD3	CCND3
TCF7L1	CCND3
SOS1	MYC
SOS1	CCND3
SOS2	MYC
SOS2	CCND3
STAT1	MYC
STAT1	CCND3
STAT2	MYC
STAT2	CCND3
STAT3	MYC
STAT3	CCND3
STAT4	MYC
STAT4	CCND3
STAT5A	MYC
STAT5A	CCND3
STAT5B	MYC
STAT5B	CCND3
STAT6	MYC
STAT6	CCND3
ETS1	CDK4
JUN	CDK4
MYC	CDK4
FOXO3	CDKN1B
ATF4	ASNS
HIF1A	BNIP3
ETS1	CDKN1A
JUN	CDKN1A
SP1	CDKN1A
STAT3	CDKN1A
TFAP2A	CDKN1A
REL	CSRP1
STAT3	CSRP1
CREB1	F3
JUN	F3
NFKB1	F3
REL	F3
RELA	F3
NFIC	HSPA1A
TFAP2A	HSPA1A
MYC	MYC
JUN	MYC
NFKB1	MYC
POU2F1	MYC
RELA	MYC
SP1	MYC
TFAP2A	MYC
TP53	MYC
TP53	PCNA
TP53	S100B
JUN	TFPI2
NFIC	TFPI2
NFKB1	TFPI2
POU2F1	TFPI2
SP1	TFPI2
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
ATF6	XBP1
