NR3C2	ATP1B1
NFKB1	BIRC2
RELA	BIRC2
TP53	GADD45A
TP53	SFN
FOSB	CDK5
FOSB	NFKB1
JUN	CDK5
JUN	NFKB1
LEF1	BIRC5
TCF7	BIRC5
TCF7L2	BIRC5
TCF7L1	BIRC5
ELK1	BIRC2
ELK1	CCND3
JUN	CCND3
STAT1	MYD88
CREBBP	LDHA
CREBBP	VEGFB
EP300	LDHA
EP300	VEGFB
HIF1A	LDHA
HIF1A	VEGFB
ARNT	LDHA
ARNT	VEGFB
NFKB1	HIF1A
RELA	HIF1A
STAT3	HIF1A
YAP1	BIRC2
YAP1	BIRC5
YAP1	ID1
YAP1	ID3
YAP1	CCND3
SMAD4	ID1
SMAD4	ID3
LEF1	BIRC2
LEF1	CCND3
TCF7	BIRC2
TCF7	CCND3
TCF7L2	BIRC2
TCF7L2	CCND3
TEAD1	BIRC2
TEAD1	BIRC5
TEAD1	CCND3
TEAD4	BIRC2
TEAD4	BIRC5
TEAD4	CCND3
TEAD3	BIRC2
TEAD3	BIRC5
TEAD3	CCND3
TCF7L1	BIRC2
TCF7L1	CCND3
SOS1	SPRY2
SOS1	CCND3
SOS2	SPRY2
SOS2	CCND3
STAT1	CCND3
STAT3	CCND3
STAT5A	CCND3
STAT5B	CCND3
MAPK1	CDK4
MAPK3	CDK4
NFKB1	NFKBIA
RELA	NFKBIA
TP53	IGFBP3
TP53	SERPINB5
TP53	CCNG2
NFKB1	VEGFB
RELA	VEGFB
STAT1	VEGFB
STAT3	VEGFB
ETS1	CDK4
ETS1	VEGFB
FOS	CDK4
FOS	VEGFB
JUN	CDK4
JUN	VEGFB
MAX	CKS1B
MYC	CDK4
MYC	CKS1B
MYC	VEGFB
PPARA	ACSL3
PPARG	ACSL3
RXRA	ACSL3
RXRB	ACSL3
RXRG	ACSL3
MAX	CDK4
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TWF2
ELK1	TWF2
ETS2	TWF2
MYB	CDK1
MYB	TSC22D3
SP1	CDK1
TP53	HSP90AB1
LEF1	ADA
NFIC	ADA
SP1	ADA
SP1	APEX1
SP1	CD99
E2F4	CDK1
ETS2	CDK1
RARA	CRABP2
RARB	CRABP2
RARG	CRABP2
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
SP1	DKC1
SP3	DKC1
MYC	EIF4E
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
PPARA	GADD45A
PPARG	GADD45A
RARA	GADD45A
CREB1	GSTP1
FOS	GSTP1
NFIC	HRAS
SP1	HRAS
NFIC	HSPA1A
TFAP2A	HSPA1A
ESR1	HSPB1
SP1	HSPB1
FLI1	IGFBP3
SP1	IGFBP3
SP3	IGFBP3
TFAP2A	IGFBP3
SP1	KRT5
TFAP2A	KRT5
ATF1	LDHA
CREB1	LDHA
SP1	LDHA
SP1	MAT2B
SP3	MAT2B
HIF1A	MDK
RARA	MIF
RARB	MIF
RARG	MIF
CEBPA	NFKB1
CEBPB	NFKB1
ETS1	NFKB1
PPARA	NFKBIA
MYC	NME1
TP53	NME1
TP53	PLK1
FLI1	POLR2G
TP53	PTTG1
RARA	S100A9
RARB	S100A9
RARG	S100A9
E2F4	TK1
CEBPA	TK1
REL	TNFSF10
POU2F1	TXNRD1
