DDC	RELA
RELA	BRCA1
BRCA1	TRIM24
TRIM24	NR3C2
RELA	NFKB1
RELA	SP1
RELA	POU2F1
RELA	NR3C1
NR3C1	POU2F2
RELA	JUN
RELA	STAT3
STAT3	PML
RELA	EP300
EP300	ZBTB16
EP300	TFAP2A
RELA	TP53
EP300	RARA
RELA	ATF4
ATF4	CEBPE
RELA	PPARG
RELA	SMAD3
EP300	MYC
RELA	RXRA
NR3C1	RXRB
RELA	PPARA
PPARA	RXRG
STAT3	PGR
SMAD3	CEBPA
RELA	ESR1
STAT3	STAT1
BRCA1	E2F4
EP300	Cebpb
Cebpb	NFIC
RELA	EGR1
EP300	CREB1
EP300	STAT5A
NR3C1	STAT5B
JUN	STAT4
RELA	FOS
EP300	ETS1
RELA	TBP
TBP	SPI1
EP300	MYBL2
STAT3	EGFR
EGFR	SOS1
ESR1	SOS2
EP300	IRF5
RELA	MDM2
MDM2	MYD88
SMAD3	IRF7
RELA	NCOR2
NCOR2	PPARD
RELA	CEBPB
EP300	FOXO3
EP300	FOXO1
PML	CCNA1
RARA	CCNA1
ZBTB16	CCNA1
NR3C2	ATP1B4
NR3C2	SGK1
TP53	GADD45A
NFKB1	CCL5
RELA	CCL5
SMAD3	MYC
NFKB1	TNF
RELA	TNF
FOXO1	PCK2
SOS1	MYC
SOS2	MYC
STAT1	MYC
STAT3	MYC
STAT4	MYC
STAT5A	MYC
STAT5B	MYC
MYD88	TNF
NFKB1	CCL4
RELA	CCL4
NFKB1	VEGFC
RELA	VEGFC
STAT1	VEGFC
STAT3	VEGFC
ETS1	MMP2
ETS1	VEGFC
FOS	MMP2
FOS	VEGFC
JUN	MMP2
JUN	VEGFC
MYC	MMP2
MYC	VEGFC
FOXO3	PCK2
PPARG	FABP4
PPARG	PCK2
RXRA	FABP4
RXRA	PCK2
RXRB	FABP4
RXRB	PCK2
RXRG	FABP4
RXRG	PCK2
EGR1	CCL5
FOS	CCL4
FOS	CCL5
FOS	TNF
IRF5	CCL5
IRF5	TNF
IRF7	IFNA5
JUN	CCL4
JUN	CCL5
JUN	TNF
MYD88	IFNA5
CREB1	CYP11A1
JUN	CYP11A1
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
TFAP2A	CYP11A1
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
PPARG	GADD45A
RARA	GADD45A
CREB1	IL2
EGR1	IL2
NFKB1	IL2
POU2F1	IL2
POU2F2	IL2
RELA	IL2
SP1	IL2
CEBPB	IL4
POU2F1	IL4
POU2F2	IL4
CEBPA	MMP2
SP1	MMP2
SPI1	MMP2
TFAP2A	MMP2
TP53	MMP2
E2F4	MYC
MYC	MYC
CEBPE	MYC
ESR1	MYC
JUN	MYC
MYBL2	MYC
NFKB1	MYC
PGR	MYC
POU2F1	MYC
POU2F2	MYC
RELA	MYC
SP1	MYC
TFAP2A	MYC
TP53	MYC
CEBPA	PCK2
NFIC	PCK2
E2F4	RBL1
MYBL2	RBL1
SPI1	SERPINB1
CEBPB	TNF
EGR1	TNF
ETS1	TNF
POU2F1	TNF
SP1	TNF
SPI1	TNF
ETS1	TNNC1
JUN	TNNC1
NFKB1	TNNC1
SMAD3	TNNC1
